signal_1,signal_2
0.9999999999999686-0.000000000000000000000000000000847542711911063i,1.0000000000000058+0.00000000000000000000000000000010619921353566366i
0.8181295440368513-0.00027952338301306565i,0.8181295430401657-0.00027952707243721i
0.9565226333465633+0.0004154387591329664i,0.9565225176023561+0.0004154388599997781i
0.9183057344128129+0.0004855938756745471i,0.9183052104556922+0.0004855868164400882i
0.948006455530744+0.0007650586108560975i,0.9480047050847116+0.0007650687579585599i
0.9700619517913488+0.00004632975309773908i,0.970057681236733+0.00004636477618872843i
0.9008357325974863+0.0007827929070048395i,0.9008277716839375+0.0007829147932681498i
0.9210696101424649+0.00006942340514262011i,0.9210547181871378+0.00006944186534595284i
0.8540748011498782+0.0003305064962067219i,0.854052061387372+0.0003310287192883273i
0.8626607490447172+0.00012430190847018688i,0.8626242745466298+0.00012422419104315198i
0.9115949259708758+0.0002742202361509716i,0.911537818371181+0.0002753945776877334i
0.863972343856698+0.0007629741525216954i,0.863893974391029+0.0007628371213517443i
0.8541723365847961-0.0001925441446063501i,0.8540651306225153-0.00019135732335952483i
0.864385690183638+0.00006691391369992232i,0.864238839946498+0.0000672068834448978i
0.7739896491577588+0.0012061605481135163i,0.7738164710469868+0.0012062280923526092i
0.8184062554284398-0.0002896001215868533i,0.81817024407524-0.0002882702863866846i
0.7085331639340802+0.0011413546814847534i,0.7082735177829893+0.0011406559489518303i
0.7491047493254034-0.0003586000110061649i,0.7487625912736189-0.00035621778333452033i
0.6645875209135849+0.0007379716264640339i,0.6642116812569693+0.0007373125679585715i
0.6853768118719049-0.0004267505050109906i,0.6849045848671772-0.0004244273858154954i
0.689292142182422-0.00010127843608150251i,0.6887162971474883-0.00010142497466697562i
0.6212514683151007-0.0004641825321533514i,0.620630136555126-0.00046317845733438793i
0.6443233814818055-0.000037267741397934725i,0.6435565923547144-0.00003768396602663633i
0.5806194015591367+0.0001550319347770307i,0.5798046313389426+0.00015426763668592933i
0.6103086227180109+0.00038516386915342024i,0.6093062540836148+0.00038428805665855186i
0.5747560258875091+0.0001280086139248282i,0.5736572041789387+0.00012761651061229015i
0.6035586258432196+0.00006635271620272315i,0.6022257491269138+0.00006646169287696331i
0.5730827067651852-0.00012479567912089586i,0.5716251331058847-0.00012376777394891813i
0.5640692939150134-0.000027631859779524808i,0.5624287159511654-0.000027664885064881262i
0.5758913306399666-0.00045171903462052005i,0.5739805028347923-0.0004498019142147544i
0.5800871294347965+0.00020700095393965203i,0.5779049545812531+0.0002050513305393241i
0.5707903757947438+0.000021662880572240793i,0.5683637502283644+0.000020883430673762234i
0.592328057114079+0.00047835761157668545i,0.5894962168636186+0.00047484149960086387i
0.5858203084425457+0.0003016802608851535i,0.5826836412036912+0.0002987279688872808i
0.5999261311913417+0.0006915353351288467i,0.5963406970341748+0.0006876587592153768i
0.6151329527868187-0.0000758771950855527i,0.6110474594435352-0.00007688455520578908i
0.6173069639327602-0.00003907103128172633i,0.6127600269316305-0.00003718713135507868i
0.6393295834526403-0.00027528413895379i,0.6341287896729545-0.00027482811823154865i
0.5888363620337594+0.000304314384441387i,0.5835549109318505+0.00030282505352472556i
0.7017680962469917+0.000015126586784573295i,0.6948540455265716+0.000013058779756218742i
0.6467013264839913+0.0006673661478363191i,0.6397168174802126+0.0006601715005131268i
0.7402492279802714+0.00009099400257327441i,0.7315125754432233+0.00008897449823194109i
0.7250685565359574+0.0006988745687906893i,0.7157411165680272+0.0006887155422954136i
0.7522340944952498+0.0002687716349925281i,0.7417102267200495+0.000265620555821649i
0.7692985919740429-0.00005439642309348096i,0.7576262596457263-0.00005526705119369203i
0.7749409274053466-0.00023767989341016475i,0.7622076637485264-0.00023239007951744188i
0.8444337177914739-0.0003367456336232297i,0.8294473379100656-0.00033260338420728486i
0.8178638669456347-0.0008736458676376307i,0.8022048487694022-0.0008559465239132705i
0.8426172656021603+0.00016318940578859457i,0.8252549288437475+0.0001584624636766052i
0.913935754127051+0.00005252701714779156i,0.8936973487178086+0.00005147231007761457i
0.876449435140381+0.00021231498732043034i,0.8556357810349676+0.0002067620028944342i
0.93066238755332+0.000010484794196475853i,0.9070026953147816+0.000009818855435580168i
0.909157194538637+0.00006229752037785873i,0.8844544161640366+0.00006074567452571731i
0.8819402570891126+0.00029600240635266524i,0.8563770747357909+0.0002869834211274102i
0.9007389322383483-0.00044423663031069137i,0.8729185653900835-0.0004306326964326926i
0.8749146125373296-0.00009320558924881836i,0.8461717617392148-0.00009045012923864767i
0.9432463496867906-0.00020622032120315586i,0.9103151598429863-0.00019972422487064804i
0.8806472295074463+0.0010520984794133083i,0.8480285082366072+0.001013118451522216i
0.8724236765295369+0.00016962631599961407i,0.8381757788120339+0.00016250739842130218i
0.9164778099558907+0.00004657282672529226i,0.8784055045399449+0.00004465195615182902i
0.8182211980459827+0.0012959535552539716i,0.7822966828575858+0.0012392938355803697i
0.9152347080429608+0.0000058870291485557i,0.8728156385924575+0.000004840120750557833i
0.8230035768394488+0.000463342758213717i,0.7827923693635115+0.00044134111693598134i
0.8669856030574695+0.0005823723644118667i,0.822367650463026+0.0005507492177811084i
0.8305291451299125+0.0010054510508322896i,0.7855685223729748+0.0009517200583649024i
0.8506784024594399+0.00039458278718035474i,0.8022679806559693+0.0003704170640831099i
0.8809670226731977-0.0002657803425718316i,0.828330506108125-0.000249328228678209i
0.81729130992442-0.0005601340257464065i,0.7660599630238267-0.0005260809855961813i
0.8467444941680687-0.0004240218143965515i,0.791122784463402-0.00039630653557959497i
0.8292751961095224-0.0004247933780544485i,0.7722434693948109-0.0003959005090588984i
0.8131653935424954-0.0002263935633851477i,0.7546705646254164-0.0002112924412538135i
0.8510281539125966+0.000006409203078721119i,0.7870611916757176+0.000006594557845683376i
0.8072537082206194+0.0005422980070876563i,0.743894298616897+0.0004977161732076051i
0.7945164243661624+0.00048340597503765295i,0.7294649856996447+0.0004451827649975416i
0.7664494302785612+0.0008394049844594293i,0.7010199688941833+0.0007653591272674195i
0.7506724783649624+0.00004379514852634259i,0.6839210380015537+0.00004063978702945765i
0.7721501464912343+0.00038625856220286586i,0.7006698384541742+0.00034805117443908714i
0.7047804388012179+0.000981645320241552i,0.6369188915460992+0.000886275039529736i
0.746164517959685+0.00029651679116989954i,0.6714896949338102+0.00026541749832398196i
0.6978271761104962+0.00034562051933650125i,0.6252950249517306+0.00030764648722310633i
0.686647652650048+0.001496410460279302i,0.6125832639939202+0.0013352168492602816i
0.7125140659510303+0.0002010716859549372i,0.6328019262278531+0.0001760631817463502i
0.6501234930970968+0.0005676086573876282i,0.5747458960331804+0.000502621140820888i
0.68083957324321+0.0000074940456830035156i,0.5990642235809108+0.0000039020193927845585i
0.6177037093490035+0.0007114820408187482i,0.540902952679618+0.0006229060043703225i
0.6928153705100994-0.00013958967901029829i,0.6036889752712511-0.00012453216652530446i
0.6652734314116266+0.00015932878522851752i,0.5767858119948667+0.0001366369364009931i
0.6875126783310321-0.0000021116479348321403i,0.5930196304541943-0.000003916361672474903i
0.7054342140898672-0.00009767904111345217i,0.6053096884737333-0.00008585333655065778i
0.6758620596096249-0.000044730997180631485i,0.5768638702378911-0.00003877054335628871i
0.6982655578691609-0.00032851165703355704i,0.5927619591519215-0.00028057245737512544i
0.7139253821821937-0.00009398925599743288i,0.6027236151032056-0.00007915678185110134i
0.7304984421394488+0.00005505915170299258i,0.6132446330303885+0.000044551207323263315i
0.7363743469926993-0.0002500138236505632i,0.6146422323664676-0.00020902499288550844i
0.7467647270341645+0.00038031068452446155i,0.6196732998936395+0.00031373689584023i
0.7913609224835242+0.00030427469172665365i,0.6527850676965322+0.0002498408387146786i
0.8001553829137323+0.0004117935797679001i,0.6560572091807709+0.00033606563310354445i
0.7814458492389033+0.0003398140317161176i,0.636792260697451+0.00027603225785019855i
0.8376859822708921+0.0003661165036478573i,0.6783791523500333+0.0002958318150188722i
0.7446851397327766+0.0005169973192019246i,0.5992497485240881+0.0004158794532735647i
0.830995249689466+0.0003407206795462617i,0.664411844468707+0.00027227193692101303i
0.8010079130437749+0.0002666153530143692i,0.6362428656913636+0.0002116471878764114i
0.8592202152883307-0.000002590534393999617i,0.6779479062050979-0.0000024017095609302893i
0.8335404187030022+0.0008250149596390221i,0.6532352062411789+0.0006459933680869121i
0.8257850569126497+0.00021644012611005557i,0.6427201913804946+0.00016806934826446235i
0.8838230234821799+0.0000750159763163917i,0.6831042584182638+0.00005743156904744539i
0.8164699666132632+0.0007681995887818117i,0.6265988527117983+0.0005894476243835056i
0.8973396299575606-0.000026420769629024093i,0.6837456417325032-0.00002040507944324623i
0.8574565950083761-0.00028536585086836024i,0.6486210083815226-0.0002161308058060246i
0.8723412388749269+0.000029877774954869355i,0.6550360391553737+0.00002204663519737158i
0.8783845627581388+0.0002592851205561425i,0.6546462920404598+0.0001924425599259041i
0.9069478426721753+0.000021969115499899158i,0.6708173839635345+0.00001580547148318229i
0.8987184991313959+0.00014921561907011948i,0.6596133625194112+0.00010878643648309476i
0.881539396374748-0.00045376386128426823i,0.6419645853041842-0.00033049859327975527i
0.8567050310642681+0.0002115086153588404i,0.6189526763323115+0.00015268938768709249i
0.8843445178714242-0.00008797086887336148i,0.6338192955381581-0.00006320338324457819i
0.8367677681885848-0.00041011396907295955i,0.5948751248415549-0.0002915489926404534i
0.8889079055312228+0.0001543288583488624i,0.6267690267851537+0.00010775756096882496i
0.8630435016362149+0.0001586287408419627i,0.6034888805262225+0.00011065158916766991i
0.8044920704024677+0.0005382879726438852i,0.5578099836277537+0.00037181945117374654i
0.8538018018502154+0.00029154648775750464i,0.5869513396049445+0.00020014249712419242i
0.7768988553986214+0.00007432748113111125i,0.5294577563812723+0.000049831670174044465i
0.8520059764526596-0.0002978681585749905i,0.5755557716208707-0.00020129875736363641i
0.7507484199130966+0.0004704365955518524i,0.5026521532659698+0.00031490492571780706i
0.8229102270370412-0.0001794384254450134i,0.5460257551250667-0.00011904372293515048i
0.7603011605246022-0.0004404010339590546i,0.49990766831877403-0.0002894825870540175i
0.7688922092128011+0.0006202271379618794i,0.5009160265978605+0.00040422810443096243i
0.7840560269330217+0.00003400717604583344i,0.5060499009786606+0.00002176898136818107i
0.7338150801762127-0.0003869994265570277i,0.46915805128247556-0.00024700287386482557i
0.7176178340877756-0.00028616837312342577i,0.4544215800541025-0.0001814689628434893i
0.7050551123153347+0.000007307159837353065i,0.4421389869095079+0.000005120794119766927i
0.7064179263125098-0.000015402354697016207i,0.4386502860449059-0.000009448243601917097i
0.7000502407086154-0.00022478003511606367i,0.43038035928029567-0.0001377248253866218i
0.6765954687814947+0.00013728296165727493i,0.41178844958440247+0.0000842932367203601i
0.6619878450482501+0.00008883734233734145i,0.39881246949452176+0.0000538043633753322i
0.6312234193632817+0.00003422742121810494i,0.3763768253116087+0.000021467321792387045i
0.590783468275443-0.00019012212764841441i,0.348607621836629-0.00011211717389610885i
0.6290368028699341+0.00009965464121698584i,0.36727012209834053+0.00005912659019116656i
0.5599310152630902-0.00022243748889802276i,0.323435851400211-0.00012850648622068347i
0.5826509126758871+0.00003862070853807032i,0.33291513109414533+0.000022643517117722917i
0.5589413014033607+0.00003525100066804436i,0.3158711985915048+0.000020125123624377646i
0.5685973686388281+0.0002330872577306936i,0.31776414946736753+0.0001306639949948657i
0.574107655109043-0.00009233600784324852i,0.3172493497109646-0.0000503690590535694i
0.5391597520565093+0.0002868720055398881i,0.294564217826353+0.00015706006857732399i
0.5770410900994923+0.00004116154857535808i,0.31164840370803004+0.00002309881847862945i
0.5151896111946203+0.00010292765832765651i,0.27502229966412334+0.00005518518214424656i
0.58113128241891+0.00013548084691338217i,0.3065765239936982+0.00007207424156888798i
0.5785320097252398+0.00017130482175516137i,0.30157749781412585+0.00008950074982556291i
0.6095213338519696-0.0001057403003578726i,0.31389312303035904-0.000054235666840595585i
0.6071272704788244+0.00004565529301624712i,0.30884456340361843+0.000023536132229043636i
0.6318057045784319-0.00011725731610377422i,0.3174231220937946-0.00005865073618820893i
