signal_1,signal_2,signal_3
-0.10677457617417846+0.4884633054233234i,-0.00028470451444964347-0.00020769538054740604i,-0.00000774681497480271-0.000005697690995730547i
-0.29469825043199493-0.4039216461962596i,0.0002095282090563836-0.000266614644618451i,0.000005868411756794532-0.000007420753798635404i
0.4977455537812029+0.04740943794637163i,0.0002977826474077388+0.0003614554028051837i,0.000008309829625689222+0.000009821646023340769i
-0.3656550621068096+0.3410196510491753i,-0.0006496947338656691+0.00014723083868828244i,-0.000017849606962567915+0.000003874535869557177i
-0.012637150569464989-0.4998400624154462i,0.00031917655658932043-0.0008318334456695478i,0.0000088089661929636-0.00002325433767481337i
0.38241945999913424+0.32210673517494515i,0.0006027284357429583+0.000959441249414211i,0.000016687097786707823+0.000026052091992957435i
-0.49471462036336195+0.07250094317405764i,-0.001374303754987973-0.00015033743701792332i,-0.00003789660226970475-0.000004549530990086891i
0.2739104831492072-0.41829728502071706i,0.0011735475297961955-0.0011451177668762827i,0.00003228745895273177-0.00003218247961896908i
0.13132021581371428+0.48244376239934383i,0.00014603801133541834+0.0019013252956350886i,0.000004077283607613487+0.000051777268008285455i
-0.4481323422247534-0.22175876182432602i,-0.0017620338012865953-0.0012746048751283853i,-0.0000486926160789684-0.00003579159510649965i
0.4632096599518393-0.18824401096298676i,0.0023845422397220433-0.0005708241507110896i,0.00006562529831371345-0.00001667061134783368i
-0.16640267522275776+0.47149495449301004i,-0.001251280178711136+0.0024330120959941423i,-0.00003447606567883182+0.00006621556012915716i
-0.24244665648579758-0.4372864031004381i,-0.001124673674636292-0.0028010027941492437i,-0.00003125747344138038-0.00007816944211611789i
0.48805218218112684+0.10864235272547551i,0.0031302604744826326+0.001088737187101567i,0.00008617939213515851+0.00002875530671952332i
-0.4050465933427078+0.29314754254859654i,-0.003132579934950236+0.001796446021235122i,-0.00008641471559325978+0.000048461399292475754i
0.04931642345020876-0.49756170962002993i,0.0007708207884439783-0.0038319517976978423i,0.00002086041248824217-0.00010695509029371632i
0.33961803713287975+0.36695618437450106i,0.002565556396600161+0.0033528996820189364i,0.00007064749215238807+0.00009087820112590386i
-0.49988413566132694+0.010721443303650591i,-0.004519616595277419-0.0002958096330172017i,-0.00012479722281554532-0.000009437995031355238i
0.3235702308230199-0.38118472189649966i,0.003431589336378439-0.0034186506438212477i,0.00009411713996756043-0.00009598871537028809i
0.07060682724592343+0.49498653548279625i,0.00032762030734504247+0.005161144633698935i,0.000008996009232598006+0.0001404919629152128i
-0.41724447276910204-0.2755116493959199i,-0.004344729350625512-0.003354258525801014i,-0.0001201941913863329-0.0000940345524456026i
0.4829445371640878-0.1294735678044322i,0.005717053710188083-0.0011005374736475359i,0.00015711181431548606-0.00003253973012675022i
-0.22347253470214615+0.44727790387249433i,-0.003116583485551984+0.005313795545324099i,-0.0000859589341463455+0.00014453001426927898i
-0.18646773647117257-0.4639284184541743i,-0.002026438832712704-0.006164629919483778i,-0.00005654094632778252-0.0001718993419923323i
0.4708555788090091+0.16820499849217468i,0.006285100643688748+0.0027004721950977294i,0.00017286083370672298+0.00007182205389281509i
-0.43821101630783954+0.24076861541158268i,-0.0064898780704353756+0.003085203135912744i,-0.00017906991017080433+0.00008295319089584801i
0.11051181039100066-0.48763395354606287i,0.0020839020613702916-0.00723532224365989i,0.00005654806849170552-0.00020193036174249418i
0.291595382359918+0.40616409414509463i,0.004243315209382062+0.006659630703830702i,0.00011672926239595834+0.00018064368891005265i
-0.49736852735971165-0.051222907118729066i,-0.008148102225468355-0.001271852395270716i,-0.00022504387701715372-0.00003734406059089606i
0.3682554626797829-0.3382119143845437i,0.006633903186838003-0.005485992104386263i,0.00018187492436296567-0.00015431246589129468i
0.00880793675818839+0.4999194535324576i,-0.0002840228364412465+0.008981650303163032i,-0.000007940259712835016+0.00024447186411886523i
-0.3799419670369186-0.3250288914019493i,-0.006804055100023882-0.006401730079650474i,-0.00018837009900413382-0.000179078830851621i
0.4952547066207007-0.06871264229674971i,0.009683553761046307-0.0008812653857770104i,0.00026601453055169456-0.000027984468258081397i
-0.27710677285086105+0.4161844621450663i,-0.005966658297173909+0.008156577111934338i,-0.00016458364106984434+0.00022165937963051683i
-0.1276221002423645-0.4834381027022505i,-0.0022310910061783427-0.010231389078035157i,-0.00006270922128299904-0.00028516435548846627i
0.4464201211540489+0.2251816698366766i,0.009488071076634205+0.005306487858482292i,0.0002608572522403796+0.0001420912152111982i
-0.46463846712475454+0.18468813384896726i,-0.010615747969463952+0.0037352684168800885i,-0.00029294476827817627+0.00009973449842826938i
0.17000820337378883-0.47020942173093905i,0.00439218778757266-0.010773674563655833i,0.00011957885366574035-0.0003008145039259145i
0.239089787342786+0.43912768912942834i,0.00534587555885118+0.010795465871440113i,0.000146970869888552+0.0002931043830874518i
-0.48720646996837097-0.11237978678401753i,-0.011999431603351773-0.003236054309444602i,-0.0003315103394932111-0.0000925946652041877i
0.40727919599698026-0.2900395187032916i,0.010719462718558904-0.007046836590382978i,0.00029393011481497743-0.00019887611999930843i
-0.053126370615316415+0.4971666787529105i,-0.0018698053031078598+0.013112548803029624i,-0.000051721541763943747+0.0003569002370575214i
-0.33679830704630564-0.36954921866440404i,-0.008831199305536741-0.010380370599448888i,-0.0002447321603772637-0.0002899237528937089i
0.4999509139891716-0.006895361987082176i,0.014046074079148986+0.0002906484527393533i,0.0003858300546746293+0.000002649513693987265i
-0.3264808265322135+0.3786926542948814i,-0.009790116791801019+0.01064594953031389i,-0.00027006800620202293+0.00028897150053615984i
-0.06681443003341103-0.49551551746584965i,-0.0015127996843134202-0.014777789810472503i,-0.00004352398982721758-0.00041181360432111287i
0.4151214755500267+0.278696417655134i,0.012419413090575383+0.008921501667059992i,0.00034138835243531425+0.0002400392469370949i
-0.4839226549148563+0.12576826910397892i,-0.015303065409880153+0.003499522893410736i,-0.00042236387624667416+0.0000920239849241742i
0.22689091554717158-0.4455559957947717i,0.007737402723807252-0.014125115327074625i,0.00021114295208387294-0.00039471837857803325i
0.18290846366153796+0.4653401929433306i,0.00560614310298164+0.015571609513646653i,0.00015401072107946916+0.0004231311217848751i
-0.4695541931310374-0.17180898081702484i,-0.015751636284609644-0.006257732787789356i,-0.0004353321253717733-0.00017709014865258235i
0.44004148691300454-0.23740812860508925i,0.015519935051786747-0.007815471373088105i,0.0004256833189020812-0.0002217529026872957i
-0.11424392796555516+0.4867705318088127i,-0.004526778667983205+0.017234069876524132i,-0.00012504322154765278+0.00046901728069055794i
-0.28847677567100205-0.4083881836743602i,-0.010123105834813467-0.01514420345787291i,-0.00028090521658859555-0.0004225290981044225i
0.4969609606215491+0.055027905368579155i,0.018489635178341995+0.002540090988849867i,0.0005078930154459949+0.00006287748587072428i
-0.3708356279197599+0.33537887263677707i,-0.01446485088633085+0.01246311446428834i,-0.000399060732884817+0.0003377061202482334i
-0.004979572036089397-0.4999749867412791i,0.00028133891251545204-0.01949611104258609i,0.000005268730664634673-0.0005433190355438999i
0.37744082174861115+0.3279265158337176i,0.014746633715591366+0.013448830732829325i,0.00040527619984651324+0.00036306825791665773i
-0.49576710804134116+0.0649148445865201i,-0.02025356408635605+0.002197232886513897i,-0.0005590911629356823+0.00005485595566726603i
0.28028544231870994-0.4140526930765165i,0.012050008469060266-0.016945481882656575i,0.00032935228989880314-0.0004740758087625281i
