signal_1,signal_2,signal_3
-0.10677500796748865+0.48846581994998306i,-0.002820099015526826+0.012124433812508278i,-0.001635006438880062+0.0068741510694113215i
0.497746174962298+0.04741326240043045i,0.013337409419098119+0.0014284327517975891i,0.007543821592671915+0.0008903147217757263i
-0.012635355223844597-0.4998374404609237i,-0.00020601143584805172-0.01441350167385864i,-0.000051775701841015695-0.008118934433954773i
-0.4947141596784707+0.07250254368517722i,-0.015296250170188437+0.0020777909558647315i,-0.008649655897058654+0.001148133378727978i
0.13131982252402521+0.482446810457973i,0.0041819928480795856+0.015948695692730823i,0.002308011866022429+0.00907229494267036i
0.4632108061944756-0.18824028873284734i,0.01634347859693925-0.00648592189170065i,0.009276520143578293-0.0035594512169636753i
-0.24244502560796438-0.4372842901539965i,-0.008941381115250188-0.016433859573821017i,-0.00497593910102682-0.009286228511521064i
-0.4050466182629397+0.2931493673965183i,-0.016168072683486447+0.011516652906708565i,-0.009178319261367661+0.006486307462234647i
0.33961792480940645+0.3669596876219993i,0.014183022881251374+0.015524212837586175i,0.00796103666756097+0.008883880149149533i
0.32357179526596574-0.3811813332046214i,0.014496372333525978-0.016879284259750618i,0.008278717073261208-0.009426498093957193i
-0.4172432231852541-0.2755099116213099i,-0.019528860788418125-0.013057562939884417i,-0.010966208230569475-0.007412552443012001i
-0.2234728863488792+0.44728015226375917i,-0.011177988962412906+0.022080699677043354i,-0.0064016381780729326+0.01248326180908308i
0.4708559261623927+0.16820877530192185i,0.024492232682084038+0.00886812095919962i,0.013812114537366858+0.00517983221148247i
0.1105135912823042-0.4876310540261026i,0.00615987281551904-0.026685829519229796i,0.003615861816002717-0.014986023641983192i
-0.4973677893794661-0.05122132555225231i,-0.028571152012651875-0.003060174897272016i,-0.016109266570518158-0.0017947952561638194i
0.008807491398655914+0.4999222285705373i,0.0004267841870246687+0.03009560135248791i,0.00011818076408815375+0.017067640743676008i
0.4952555880597266-0.0687088356233484i,0.031222922488867936-0.004247906447793045i,0.01766841029416622-0.0021824101941703136i
-0.12762035376734238-0.4834357369935041i,-0.008325888443885454-0.031880532416360796i,-0.004534102453894631-0.017965401628208272i
-0.46463825497356065+0.1846898136150345i,-0.031987185618776726+0.012616074547165993i,-0.018098905043393777+0.00704932299662455i
0.23908950254782976+0.43913097442028454i,0.017080059694617695+0.031513272616274686i,0.009511267546389205+0.017949711239509107i
0.4072805647450345-0.2900359326409708i,0.030454036952519775-0.021624979644752233i,0.017310055417521775-0.011975720174156667i
-0.33679683804306126-0.3695473102830364i,-0.026134736321781444-0.028766592157561582i,-0.014589302903095248-0.01626953777251357i
-0.32648103512356297+0.3786946643865243i,-0.02640274097953181+0.03053797063160398i,-0.015020106443500344+0.017194238187835355i
0.41512156916450904+0.27870008102706645i,0.03477703622829443+0.023379146340394348i,0.01952848260865369+0.01344923002805251i
0.22689261425597335-0.44555283076104657i,0.019744066999927312-0.038737557795781495i,0.011344852984068864-0.021655907768046045i
-0.4695531816960105-0.1718073495104473i,-0.04228638080425498-0.015502976990427995i,-0.02374715308141765-0.008843821342867635i
-0.11424435674537867+0.48677302940029754i,-0.010656323528764191+0.045350824733479456i,-0.006200278640696008+0.025623913498767092i
0.4969615646282617+0.05503172886232316i,0.0478822159699953+0.005279481560558536i,0.026993478378682923+0.00331414367664424i
-0.004977775583759114-0.499972347621199i,-0.0005178815328219714-0.04977485425858162i,-0.000026852678642718017-0.027945753268796784i
-0.49576663044757135+0.06491644193987478i,-0.050910422696218476+0.006678283934029848i,-0.028694258956482734+0.0036360156936200826i
0.12391473443510792+0.48440165091542414i,0.013153774328935506+0.05124813816583232i,0.007196521128655412+0.029058116367650988i
0.46603978442867694-0.18112316029671321i,0.05078180079871675-0.019816194501580883i,0.028732443730547477-0.010800229917817325i
-0.2357186196483234-0.4409465555124147i,-0.026505595486825097-0.04944728528543629i,-0.014665774895192314-0.027852095808475596i
-0.40948928566020193+0.2869108296902022i,-0.04717281742655263+0.03312886018999734i,-0.02669167393168914+0.01856570049212141i
0.33395733085651363+0.3721186007817001i,0.0396118400075232+0.04397924841120579i,0.02213225404074834+0.02508399815818014i
0.32937245966386713-0.3761804374588014i,0.039929619408139876-0.04579962001471624i,0.022727806431998152-0.025464102261848073i
-0.4129742296403075-0.28186855779133557i,-0.05151247913647681-0.035024578290191316i,-0.028802545263478155-0.019815715005995656i
-0.23029769776704548+0.44380471877488264i,-0.029257873690929193+0.05665592100335074i,-0.016693737773459057+0.03189892011134213i
0.4682242296065826+0.1754011905592715i,0.061166920242272646+0.02272586456691545i,0.03435643701004281+0.013216123443098101i
0.1179697562402445-0.4858811070194068i,0.015568999375419936-0.0649038025741489i,0.009091676686353266-0.03630277245164127i
-0.4965248538147138-0.05883355943749631i,-0.06770890146941184-0.007855202070958925i,-0.0380238320755194-0.004571291134879381i
0.0011491031443281174+0.49999848405608016i,0.0003598188111585728+0.06952856459418301i,-0.00006914712393652618+0.03927416789361367i
0.4962499275875982-0.061114895705400414i,0.07035265604926166-0.00891455043634648i,0.03965364666543843-0.004544449965203483i
-0.1202005111687715-0.4853338061822426i,-0.01760817469612811-0.07009373868518064i,-0.0095573050739902-0.03934092693463081i
-0.4674126416268621+0.17755122737317808i,-0.06865522379788927+0.026328261050525218i,-0.03868615471080012+0.014674542909290504i
0.232335245360463+0.4427416163153359i,0.034985616523188226+0.06605952532953746i,0.019432175158976366+0.037467986125195404i
0.4116753221718482-0.2837635524730115i,0.06238016675445633-0.0433881803543607i,0.035303810668032606-0.023962171516388714i
-0.33109689908692885-0.3746627189085477i,-0.05131457866000896-0.057610418035349574i,-0.028567530722767773-0.03243625688283415i
-0.3322432285598608+0.37364948928366915i,-0.05173576209180739+0.05865100300638454i,-0.02928844291491157+0.032935647356618435i
0.41080400129323325+0.2850258454411032i,0.06532081845055449+0.0448683790262777i,0.036582235653373235+0.025672380312345713i
0.23369060786943302-0.4420252294627248i,0.03717181701491541-0.07115059953056543i,0.021231387631367588-0.03966727628814752i
-0.46686647712534735-0.17897939825832562i,-0.07594916877471725-0.028720079521824926i,-0.04253298453255288-0.016269439214428756i
-0.12168690052069897+0.4849660285847356i,-0.019573602902292896+0.07965107643847538i,-0.011274695465797438+0.04487941403967818i
0.4960603532775889+0.06263728365357904i,0.0822404913236466+0.00991859666062451i,0.046234085642131606+0.006085774296822668i
0.002680972060155301-0.4999899469590259i,-0.000014891359326571947-0.08360974005880839i,0.00036454816989591176-0.046808737853823904i
-0.4967027804083862+0.05731510929353539i,-0.08364199992155553+0.010101410966609081i,-0.047004566655573954+0.0055433729443027345i
0.11648057255896183+0.4862428374987756i,0.02024091910493498+0.08235856110874394i,0.01110956574175636+0.0465586593952839i
0.46875941676149807-0.17396353498331735i,0.07983688781079311-0.030215610557441066i,0.045034878660907156-0.016489936341861675i
-0.22893690742349432-0.4445053621515769i,-0.0397767778010232-0.07606258935600424i,-0.022024412826809392-0.04270868669761208i
-0.41383587532950694+0.28060497498498904i,-0.07101413668818515+0.048797827491973395i,-0.040046494572649353+0.027357717508291145i
0.32821838124335506+0.3771902048141056i,0.05719181591387323+0.0648113415791015i,0.03195678333296839+0.03683219718659073i
0.33509584414063304-0.3710912789380789i,0.057628221112697754-0.06476521542504605i,0.032675148649221254-0.036000062468823577i
-0.4086083407019884-0.2881610693935881i,-0.0713074808087085-0.04954023258311553i,-0.039854335533182655-0.027908458422840992i
-0.2370684748200496+0.4402251565886538i,-0.04060990576829756+0.0767451870722744i,-0.023051393817599592+0.04318916869917417i
0.4654826746174028+0.18255245210065635i,0.08105624730141789+0.031034544703251912i,0.04550302340244894+0.01792634655188027i
0.12539824226926358-0.484017158389777i,0.02105542683270332-0.08412151269787332i,0.012179682942616996-0.04702103430297956i
-0.49556541954124805-0.06643198900920572i,-0.0858147717813362-0.01080311551301608i,-0.048155793125718334-0.0061780311719133105i
-0.006509554643435694+0.49995742621385164i,-0.00038347551189012126+0.08615457413411769i,-0.00046397200241772243+0.04862767669292403i
0.4971278330688038-0.05350661620856598i,0.08521554549659209-0.009976800542982023i,0.04799259612438034-0.005124761431089989i
-0.11275246608706688-0.48711800216014434i,-0.020022383242041683-0.08297928200872283i,-0.010926478137672788-0.04653260429171498i
-0.4700773601113939+0.1703709829565324i,-0.07942291090952527+0.029622352590438248i,-0.044709774618363333+0.016576662121801772i
0.22552647589888886+0.44624837894663183i,0.038683990136880904+0.07466566610704682i,0.02154851597865665+0.042304437601112126i
0.4159734891220016-0.2774245931184782i,0.06887848583709405-0.04701049074470158i,0.03893836628496383-0.026018017341056004i
-0.3253192754512393-0.3796902208584144i,-0.05439192884784366-0.06213649947051732i,-0.03033348319791572-0.03494146777078342i
-0.3379274683556166+0.36851664586421995i,-0.05450493534008142+0.060752813869461755i,-0.030809640218728993+0.034168793054468814i
0.4063900473815668+0.2912847351263151i,0.06606594992217635+0.046178260785107124i,0.037050405509190504+0.02637317191835216i
0.2404337712026983-0.43839391635804137i,0.03739006999029497-0.07021453729583456i,0.021309621133995982-0.03919153932069754i
-0.4640702325313953-0.1861094531155283i,-0.07307945615021925-0.028270302465398692i,-0.04096829425860764-0.01596972055498133i
-0.12910089306433342+0.4830452414762728i,-0.018927908808556763+0.07467772485332318i,-0.010850936241289766+0.04211863255168484i
0.49504275235968964+0.0702281422981342i,0.07507717045096367+0.009581061559907502i,0.042247395902063216+0.005808937135082273i
0.010339090751302682-0.49989023434510643i,0.0004699343721222317-0.07426456662429162i,0.0005541772974433012-0.04161332092952972i
-0.4975223899139266+0.04970032923158918i,-0.0722273442363318+0.008277640896251924i,-0.04062175448383023+0.004579095516091084i
0.10901908115807443+0.4879699382141117i,0.016567000364820485+0.06908000493479101i,0.009132093641653453+0.039082208903727586i
0.4713690650910601-0.166763092641184i,0.06498108525125454-0.024216468671796304i,0.03668422619017281-0.013253099766752536i
-0.22210148011301145-0.44795987507582i,-0.031038918228441546-0.06000970640988964i,-0.01722416174518054-0.03372054745612952i
-0.4180853674392395+0.2742332828109175i,-0.05424057739691013+0.03696385170753331i,-0.030607783339862183+0.02076373600620525i
0.322402422488165+0.3821733097789352i,0.04196205102217537+0.04785625536077113i,0.02348841920267065+0.027214934276477712i
0.3407406058300448-0.3659150517015074i,0.04106863316662867-0.045936560927017485i,0.02330379644114306-0.025572883868500176i
-0.4041465807300596-0.2943859700286934i,-0.04879612355465259-0.034006983761530454i,-0.027308275091553653-0.019172120792268876i
-0.24378362889405464+0.43654230557056684i,-0.026785798529929124+0.050561550630760774i,-0.015214010234324532+0.028489729037251173i
0.46263190444039914+0.18966088203992695i,0.05129500912652456+0.019601538606645274i,0.028831882845990968+0.011331851733415296i
0.13279730643858687-0.48203964547174016i,0.012661377525203025-0.05100371341967577i,0.007335050131015522-0.028541913648413006i
-0.4944897116692065-0.07401483146309346i,-0.04970345919184243-0.0060862609392559495i,-0.02791948255476315-0.0034883528829722566i
-0.014166685029123077+0.49979906467717006i,0.00002850868215180024+0.04750658611993318i,-0.00012312872254522912+0.026841026327595052i
0.4978890985221411-0.04588578224820031i,0.044557445556278996-0.00553293479986257i,0.025121932244823775-0.002854506837006225i
-0.1052779660421046-0.48878790630488594i,-0.010283522102675021-0.040950977445912466i,-0.005613481805386585-0.022987770960008626i
-0.4726317852096034+0.16315076505144047i,-0.036785428204495325+0.014221681780544651i,-0.020726513557177827+0.00795721713024459i
0.2186647916910266+0.4496504395294916i,0.01732055782334304+0.03223012649924572i,0.009651772777660024+0.01828060516555322i
0.4201740571252057-0.27102054187468777i,0.027469417776809318-0.01952196467062425i,0.015549774365911881-0.010808532487009581i
-0.3194653227282359-0.3846286365399404i,-0.020785127542042696-0.022638904869752036i,-0.011590412548862635-0.012746810260752492i
-0.343532420829051+0.363297338436932i,-0.01786720938151842+0.021143523632027608i,-0.01011274390018858+0.011889985060272893i
0.4018807430666617+0.2974752815719718i,0.0206597737368013+0.01332263082981814i,0.01158924756138807+0.007627230191530837i
0.24712052212088423-0.4346597434547059i,0.009168316387372253-0.019381046905947243i,0.005246320062352237-0.010820498317630465i
-0.46116510399141497-0.1931958411715878i,-0.01737378126409177-0.005519262460666656i,-0.009737791440346555-0.003131264112190886i
-0.13648459484608494+0.48101111874533575i,-0.0024734248227978213+0.01475682961374556i,-0.0014362878948843104+0.008322786845192628i
0.4939090006322268+0.07780252376805313i,0.011665846210815881+0.00013688767338125238i,0.006570171405866366+0.00014743081942965614i
0.01799478368065749-0.4996732331748123i,-0.001406953121991406-0.008228891896342707i,-0.0007506667074764448-0.004615455011065149i
-0.49822526666086003+0.042073888394606074i,-0.004586608782530735+0.0021166958988149964i,-0.002580792235707281+0.0011817446875327863i
0.10153201090720482+0.4895825478352579i,0.001972210397302268+0.0009006431246636707i,0.0011098340284646773+0.0005161207181546424i
0.47386811712081106-0.1595235226956554i,-0.0026702568767310074-0.0009711917167317779i,-0.0014943777176785267-0.0005625766803885112i
-0.21521394149947276-0.45130928375970736i,0.0008562490949609101+0.005972217080359493i,0.00045809573101374584+0.0033463593086938102i
