signal_0,signal_1,signal_2
0.4999991686935648+0.000002580545627893418i,0.4435857892576851-0.00037399917485269674i,0.24645356583407338+0.0025610768649129033i
-0.059974002792358316-0.4963871497028759i,-0.05352500187342981-0.44123559322344436i,-0.027696537036534626-0.2441297079000799i
-0.4856104403249749+0.11908548828488719i,-0.43188812242237024+0.1059162250632209i,-0.23988252648580624+0.05803681837338133i
0.17647445483202234+0.4678211024956919i,0.15705902796345997+0.41591566482733217i,0.08573978059567511+0.2324413652965585i
0.44327432693106283-0.23131447299569385i,0.3939646430819926-0.20587906320591065i,0.21969621649920812-0.11169665512473487i
-0.2828168243002099-0.412324929306399i,-0.2511927716700023-0.36617653289974605i,-0.1377001435699947-0.2032290720163622i
-0.37542479820477664+0.3302357105509982i,-0.3326475274544823+0.29248931969586767i,-0.18552238966253695+0.16197181761430424i
0.37288334153410335+0.333103178668113i,0.32948285273760547+0.2941795598812515i,0.181908720192261+0.1655374670206221i
0.28596948119726573-0.41014537718094035i,0.25181067189178374-0.3613594677752745i,0.141402331208978-0.1985544088211956i
-0.4414877085117039-0.23470482356538153i,-0.38725347858474973-0.20603612888024553i,-0.21384369542035403-0.11489381500997536i
-0.18005423239970983+0.46645490775694287i,-0.15726231379445663+0.407011258926041i,-0.088636860623107+0.22620645211412102i
0.48468411907758036+0.12280359392285012i,0.4207373483855472+0.1065415024398526i,0.2332887075809967+0.061739932017877606i
0.06377750374589003-0.4959129419793461i,0.055097228715445125-0.42804500340896695i,0.03248505644945604-0.23636173170128497i
-0.4999838255449868-0.0038292892435162424i,-0.4285232366061857-0.0035590896759498812i,-0.2375547050249983-0.002703544642338685i
0.05617117549046777+0.4968345952867831i,0.04759025465261886+0.42247255278873763i,0.02498917197753431+0.23557512438225056i
0.48650890478782505-0.11536013751917562i,0.4104477887681486-0.09729877684421764i,0.22837955609932534-0.0514621667419807i
-0.17288567684834338-0.4691562873424832i,-0.14441480987196598-0.3925198719865774i,-0.07839519012324248-0.21746670442297153i
