index,particle,x,y,z,active,cell_id,group
1,12C,26.49,26.9,27.05,false,0,c1
2,12C,25.94,26.34,28.35,false,0,none
3,1H,25.28,25.47,28.13,true,0,none
4,1H,25.349999999999998,27.15,28.83,true,0,none
5,1H,26.73,25.99,29.04,true,0,none
6,12C,25.18,27.18,26.21,false,0,none
7,1H,24.69,28.039999999999996,26.72,true,0,none
8,1H,24.58,26.25,26.32,true,0,none
9,1H,25.51,27.47,25.19,true,0,none
10,12C,27.29,25.85,26.36,false,0,none
11,1H,26.73,24.9,26.24,true,0,none
12,1H,27.39,26.13,25.29,true,0,none
13,12C,28.64,25.59,27.05,false,0,none
14,1H,29.05,24.69,26.55,true,0,none
15,1H,28.59,25.349999999999998,28.14,true,0,none
16,12C,29.44,26.85,27.02,false,0,none
17,1H,29.75,27.01,25.97,true,0,none
18,1H,30.38,26.77,27.61,true,0,none
19,12C,28.65,28.03,27.66,false,0,c7
20,12C,28.78,27.88,29.19,false,0,none
21,1H,29.84,27.78,29.49,true,0,none
22,1H,28.41,26.96,29.67,true,0,none
23,1H,28.41,28.76,29.77,true,0,none
24,12C,29.38,29.31,27.32,false,0,none
25,1H,29.030000000000005,30.28,27.73,true,0,none
26,1H,29.630000000000003,29.48,26.25,true,0,none
27,1H,30.37,29.29,27.82,true,0,none
28,14N,27.309999999999995,28.18,27.17,true,0,n
29,16O,26.65,29.199999999999996,27.81,false,0,o
30,12C,51.09,36.57,2.620000000000001,false,0,none
31,1H,50.900000000000006,35.59,3.1099999999999985,false,0,none
32,1H,50.13,37.09,2.4199999999999977,false,0,none
33,16O,51.73,36.26,1.3400000000000016,false,0,none
34,1H,51.18,35.66,0.8299999999999982,false,0,none
35,12C,51.83,37.55,3.569999999999999,false,0,none
36,1H,52.14,38.43999999999999,2.98,false,0,none
37,16O,53,36.93,4.0200000000000005,false,0,none
38,1H,53.38,36.62,3.189999999999998,false,0,none
39,12C,51.04,38.06999999999999,4.76,false,0,none
40,1H,50.58,37.19,5.250000000000001,false,0,none
41,1H,51.73,38.65,5.410000000000001,false,0,none
42,16O,50.05,38.93000000000001,4.229999999999999,false,0,none
43,1H,49.87,39.62,4.870000000000001,false,0,none
44,12C,18.27,19.16,35.99,false,0,none
45,1H,18.25,20.22,36.31,false,0,none
46,1H,17.24,18.9,35.67,false,0,none
47,16O,18.51,18.32,37.1,false,0,none
48,1H,18.71,17.43,36.81,false,0,none
49,12C,19.16,19.019999999999996,34.87,false,0,none
50,1H,18.77,19.64,34.03,false,0,none
51,16O,19.39,17.68,34.32,false,0,none
52,1H,19.59,17.84,33.39,false,0,none
53,12C,20.52,19.72,35.21,false,0,none
54,1H,20.28,20.48,35.97,false,0,none
55,1H,21.170000000000005,18.97,35.71,false,0,none
56,16O,21.25,20.45,34.11,false,0,none
57,1H,21.96,19.880000000000003,33.8,false,0,none
58,12C,44.67,20.83,21.86,false,0,none
59,1H,45.5,20.5,21.19,false,0,none
60,1H,44.24,21.68,21.28,false,0,none
61,16O,45.2,21.339999999999996,23.09,false,0,none
62,1H,44.53,21.9,23.48,false,0,none
63,12C,43.63,19.67,22.069999999999997,false,0,none
64,1H,43.339999999999996,19.38,21.040000000000003,false,0,none
65,16O,42.46,20.26,22.71,false,0,none
66,1H,42.74000000000001,21.12,23.02,false,0,none
67,12C,44.1,18.41,22.81,false,0,none
68,1H,45.07,18.12,22.36,false,0,none
69,1H,44.19,18.54,23.91,false,0,none
70,16O,43.21,17.29,22.59,false,0,none
71,1H,42.54,17.44,23.260000000000005,false,0,none
72,12C,39.15,47.03,23,false,0,none
73,1H,38.31,47.73,23.2,false,0,none
74,1H,39.14,46.85,21.91,false,0,none
75,16O,39.06,45.84,23.75,false,0,none
76,1H,39.85,45.38,23.45,false,0,none
77,12C,40.4,47.78000000000001,23.29,false,0,none
78,1H,40.31,48.7,22.67,false,0,none
79,16O,41.61999999999999,47.15,22.8,false,0,none
80,1H,42.13,47.81000000000001,22.33,false,0,none
81,12C,40.72,48.25,24.789999999999996,false,0,none
82,1H,39.8,48.27,25.41,false,0,none
83,1H,41.18,47.48,25.450000000000003,false,0,none
84,16O,41.419999999999995,49.51,24.94,false,0,none
85,1H,42.29,49.14,25.050000000000004,false,0,none
86,12C,48.09,29.57,29.39,false,0,none
87,1H,48.21000000000001,29.34,30.47,false,0,none
88,1H,47.03,29.260000000000005,29.37,false,0,none
89,16O,49,28.72,28.67,false,0,none
90,1H,48.580000000000005,28.39,27.88,false,0,none
91,12C,48.1,31.07,29.11,false,0,none
92,1H,47.39,31.6,29.78,false,0,none
93,16O,47.76,31.31,27.71,false,0,none
94,1H,47.02,31.91,27.81,false,0,none
95,12C,49.45,31.69,29.59,false,0,none
96,1H,49.81,31.1,30.46,false,0,none
97,1H,50.17,31.62,28.74,false,0,none
98,16O,49.34,33.02,30.07,false,0,none
99,1H,49.27000000000001,32.92,31.020000000000003,false,0,none
100,12C,33.97,15.99,53.31,false,0,none
101,1H,33.97,14.879999999999999,53.44,false,0,none
102,1H,34.66,16.21,52.46,false,0,none
103,16O,34.56,16.53,54.42,false,0,none
104,1H,34.8,15.759999999999998,54.95,false,0,none
105,12C,32.53,16.45,53.190000000000005,false,0,none
106,1H,32.13,15.81,52.37,false,0,none
107,16O,32.26,17.81,52.89,false,0,none
108,1H,32.95,18.38,53.220000000000006,false,0,none
109,12C,31.750000000000004,16.15,54.48,false,0,none
110,1H,31.98,15.15,54.89,false,0,none
111,1H,31.950000000000003,16.95,55.23,false,0,none
112,16O,30.42,15.99,54.13,false,0,none
113,1H,30.33,16.83,53.69,false,0,none
114,12C,45.93,20.25,37.62,false,0,none
115,1H,46.12,19.19,37.32,false,0,none
116,1H,45.88,20.15,38.72,false,0,none
117,16O,44.75,20.85,37.06,false,0,none
118,1H,44.00000000000001,20.55,37.58,false,0,none
119,12C,47.09,21.15,37.37,false,0,none
120,1H,46.8,22.22,37.49,false,0,none
121,16O,47.5,21.16,35.97,false,0,none
122,1H,47.06,21.84,35.46,false,0,none
123,12C,48.31,20.91,38.23,false,0,none
124,1H,48.97,21.800000000000004,38.17,false,0,none
125,1H,47.94,20.93,39.27,false,0,none
126,16O,49.13,19.79,37.83,false,0,none
127,1H,49.6,20.1,37.05,false,0,none
128,12C,2.7300000000000018,23.17,54.849999999999994,false,0,none
129,1H,2.5000000000000018,24.26,54.77,false,0,none
130,1H,2.2499999999999996,22.75,55.75,false,0,none
131,16O,4.189999999999999,22.95,55.13,false,0,none
132,1H,4.539999999999998,23.54,54.449999999999996,false,0,none
133,12C,2.2499999999999996,22.44,53.63,false,0,none
134,1H,2.4600000000000017,21.35,53.75999999999999,false,0,none
135,16O,2.8399999999999985,22.97,52.47,false,0,none
136,1H,3.529999999999999,22.35,52.22,false,0,none
137,12C,0.7499999999999984,22.62,53.45000000000001,false,0,none
138,1H,0.30000000000000104,22.29,54.42,false,0,none
139,1H,0.3800000000000007,23.659999999999997,53.3,false,0,none
140,16O,0.30000000000000104,21.69,52.4,false,0,none
141,1H,0.9699999999999998,21.770000000000003,51.71,false,0,none
142,12C,15.87,17.34,32.8,false,0,none
143,1H,15.06,16.65,32.46,false,0,none
144,1H,16.73,16.73,33.14,false,0,none
145,16O,15.5,18.07,34,false,0,none
146,1H,15.29,17.38,34.63,false,0,none
147,12C,16.28,18.33,31.71,false,0,none
148,1H,16.93,19.1,32.18,false,0,none
149,16O,15.24,19.17,31.220000000000002,false,0,none
150,1H,14.76,18.7,30.53,false,0,none
151,12C,17.07,17.61,30.65,false,0,none
152,1H,17.82,18.26,30.14,false,0,none
153,1H,17.72,16.81,31.06,false,0,none
154,16O,16.18,17.14,29.529999999999998,false,0,none
155,1H,16.18,16.19,29.44,false,0,none
156,12C,27.79,36.18,49.19,false,0,none
157,1H,28.53,36.18,48.36,false,0,none
158,1H,27.6,37.25,49.43,false,0,none
159,16O,28.25,35.49,50.36,false,0,none
160,1H,28.92,34.87,50.06,false,0,none
161,12C,26.52,35.62,48.54,false,0,none
162,1H,25.77,35.51,49.36,false,0,none
163,16O,26.580000000000002,34.24,48.09,false,0,none
164,1H,25.980000000000004,33.7,48.6,false,0,none
165,12C,25.66,36.44,47.61,false,0,none
166,1H,24.6,36.1,47.61,false,0,none
167,1H,25.64,37.48,48.01,false,0,none
168,16O,26.14,36.47,46.27,false,0,none
169,1H,26.03,35.54,46.07,false,0,none
170,12C,50.40999999999999,30.060000000000002,55.26,false,0,none
171,1H,50.77,31.1,55.06,false,0,none
172,1H,49.71,30.14,56.12,false,0,none
173,16O,51.49999999999999,29.22,55.709999999999994,false,0,none
174,1H,52.19,29.21,55.04,false,0,none
175,12C,49.72,29.47,54.14,false,0,none
176,1H,49.49,28.46,54.55,false,0,none
177,16O,50.40999999999999,29.260000000000005,52.92,false,0,none
178,1H,50.78,28.39,53.06,false,0,none
179,12C,48.39,30.15,53.91,false,0,none
180,1H,47.949999999999996,30.53,54.86,false,0,none
181,1H,48.46,31.119999999999997,53.37,false,0,none
182,16O,47.51,29.31,53.18,false,0,none
183,1H,47.59,29.56,52.26,false,0,none
184,12C,42.4,43.9,2.2199999999999984,false,0,none
185,1H,42.78,44.02,1.179999999999998,false,0,none
186,1H,41.31,44.09,2.2599999999999985,false,0,none
187,16O,42.9,44.95,3.02,false,0,none
188,1H,42.24,45.11,3.7000000000000015,false,0,none
189,12C,42.67999999999999,42.5,2.71,false,0,none
190,1H,42.37,41.8,1.9099999999999986,false,0,none
191,16O,42.050000000000004,42.3,4.0200000000000005,false,0,none
192,1H,42.15,41.35,4.080000000000003,false,0,none
193,12C,44.23,42.43,2.9099999999999993,false,0,none
194,1H,44.88,43.04,2.2400000000000007,false,0,none
195,1H,44.65,42.73,3.890000000000002,false,0,none
196,16O,44.66,41.05,2.6899999999999977,false,0,none
197,1H,45.34,41.03,2.0100000000000002,false,0,none
198,12C,54.08,8.32,35.82,false,0,none
199,1H,54.46,9.230000000000002,35.31,false,0,none
200,1H,54.94,7.669999999999999,36.1,false,0,none
201,16O,53.35999999999999,7.759999999999998,34.82,false,0,none
202,1H,52.72,8.43,34.56,false,0,none
203,12C,53.27,8.759999999999998,37.01,false,0,none
204,1H,52.38,8.09,37.07,false,0,none
205,16O,52.69,9.999999999999998,36.79,false,0,none
206,1H,51.76,9.859999999999996,37,false,0,none
207,12C,53.92,8.67,38.36,false,0,none
208,1H,54.56,7.759999999999998,38.43999999999999,false,0,none
209,1H,54.42,9.640000000000004,38.56000000000001,false,0,none
210,16O,52.95,8.479999999999999,39.41,false,0,none
211,1H,53.04,7.570000000000001,39.7,false,0,none
212,12C,31.94,35.48,53.55,false,0,none
213,1H,31.42,34.74,52.91,false,0,none
214,1H,33.04,35.29,53.56,false,0,none
215,16O,31.48,35.29,54.879999999999995,false,0,none
216,1H,31,34.47,54.79,false,0,none
217,12C,31.73,36.94,53.1,false,0,none
218,1H,32.23,37.63999999999999,53.8,false,0,none
219,16O,30.33,37.35,52.92,false,0,none
220,1H,30.05,37.19,52.02,false,0,none
221,12C,32.48,37.06,51.81,false,0,none
222,1H,32.36,38.11,51.46999999999999,false,0,none
223,1H,33.56,36.82,51.92,false,0,none
224,16O,31.96,36.28,50.71,false,0,none
225,1H,31.82,36.82,49.93,false,0,none
226,12C,15.859999999999998,32.84,6.46,false,0,none
227,1H,16.72,33.46,6.119999999999999,false,0,none
228,1H,15.02,32.88,5.739999999999998,false,0,none
229,16O,15.43,33.32,7.7700000000000005,false,0,none
230,1H,16.23,33.31,8.300000000000002,false,0,none
231,12C,16.27,31.39,6.480000000000002,false,0,none
232,1H,15.65,30.790000000000003,7.1800000000000015,false,0,none
233,16O,17.67,31.38,6.910000000000002,false,0,none
234,1H,18.2,31.28,6.119999999999999,false,0,none
235,12C,16,30.81,5.1499999999999995,false,0,none
236,1H,16.55,29.84,5.180000000000001,false,0,none
237,1H,14.979999999999999,30.51,4.820000000000002,false,0,none
238,16O,16.5,31.66,4.109999999999999,false,0,none
239,1H,16.39,31.21,3.259999999999999,false,0,none
240,12C,25.92,14,28.84,false,0,none
241,1H,26.92,14.06,28.35,false,0,none
242,1H,25.81,14.86,29.54,false,0,none
243,16O,25.83,12.7,29.6,false,0,none
244,1H,24.93,12.39,29.48,false,0,none
245,12C,24.83,14.11,27.7,false,0,none
246,1H,25.17,15.04,27.2,false,0,none
247,16O,23.49,14.04,28.06,false,0,none
248,1H,23.08,14.34,27.24,false,0,none
249,12C,25.050000000000004,13.090000000000002,26.679999999999996,false,0,none
250,1H,26.149999999999995,13.08,26.47,false,0,none
251,1H,24.74,12.09,27.03,false,0,none
252,16O,24.43,13.39,25.44,false,0,none
253,1H,23.560000000000002,13,25.47,false,0,none
254,12C,22.75,5.619999999999999,6.519999999999998,false,0,none
255,1H,23.560000000000002,6.100000000000001,7.110000000000001,false,0,none
256,1H,21.93,6.3599999999999985,6.42,false,0,none
257,16O,22.16,4.459999999999999,7.129999999999999,false,0,none
258,1H,21.38,4.250000000000001,6.619999999999999,false,0,none
259,12C,23.19,5.389999999999999,5.169999999999997,false,0,none
260,1H,23.85,6.220000000000001,4.830000000000001,false,0,none
261,16O,22.09,5.220000000000001,4.280000000000002,false,0,none
262,1H,22.35,4.539999999999998,3.660000000000002,false,0,none
263,12C,23.99,4.14,4.959999999999999,false,0,none
264,1H,24.52,3.820000000000001,5.889999999999999,false,0,none
265,1H,23.49,3.189999999999998,4.700000000000002,false,0,none
266,16O,25,4.26,3.9499999999999997,false,0,none
267,1H,25.57,3.4999999999999982,4.029999999999999,false,0,none
268,12C,29.260000000000005,1.1100000000000012,17.76,false,0,none
269,1H,29.6,1.2300000000000009,16.71,false,0,none
270,1H,29.260000000000005,0.020000000000002,17.99,false,0,none
271,16O,27.93,1.6500000000000015,17.99,false,0,none
272,1H,27.49,0.9900000000000018,18.53,false,0,none
273,12C,30.31,1.7600000000000022,18.68,false,0,none
274,1H,29.82,2.09,19.63,false,0,none
275,16O,30.71,3.0699999999999985,18.11,false,0,none
276,1H,30.1,3.1200000000000014,17.37,false,0,none
277,12C,31.489999999999995,0.9200000000000009,19.09,false,0,none
278,1H,31.16,-0.03999999999999986,19.53,false,0,none
279,1H,32.1,0.8000000000000014,18.17,false,0,none
280,16O,32.25,1.7099999999999993,20.010000000000005,false,0,none
281,1H,32.69,2.2800000000000002,19.37,false,0,none
282,12C,32.45,11.21,13.17,false,0,none
283,1H,33.53,11.200000000000001,12.890000000000002,false,0,none
284,1H,32.29,11.81,14.09,false,0,none
285,16O,31.87,9.930000000000001,13.45,false,0,none
286,1H,32.27,9.25,12.91,false,0,none
287,12C,31.73,11.780000000000001,11.97,false,0,none
288,1H,31.92,11.16,11.07,false,0,none
289,16O,32.37,12.95,11.54,false,0,none
290,1H,31.67,13.290000000000001,10.98,false,0,none
291,12C,30.29,12.09,12.04,false,0,none
292,1H,29.79,11.19,12.47,false,0,none
293,1H,30.18,12.94,12.75,false,0,none
294,16O,29.729999999999997,12.29,10.7,false,0,none
295,1H,29.64,11.48,10.2,false,0,none
296,12C,31.38,12.92,4.400000000000001,false,0,none
297,1H,30.44,13.21,3.879999999999999,false,0,none
298,1H,31.31,11.82,4.45,false,0,none
299,16O,31.14,13.53,5.659999999999999,false,0,none
300,1H,32,13.56,6.100000000000001,false,0,none
301,12C,32.56,13.42,3.7100000000000004,false,0,none
302,1H,32.52,13.08,2.660000000000001,false,0,none
303,16O,33.72,12.83,4.26,false,0,none
304,1H,33.76,12.9,5.210000000000002,false,0,none
305,12C,32.62,15,3.660000000000002,false,0,none
306,1H,31.6,15.42,3.6399999999999997,false,0,none
307,1H,33.13,15.33,4.590000000000002,false,0,none
308,16O,33.38,15.41,2.4700000000000006,false,0,none
309,1H,33.49,16.36,2.4300000000000006,false,0,none
310,12C,45.49000000000001,49.3,17.41,false,0,none
311,1H,46.35,49.97999999999999,17.22,false,0,none
312,1H,44.88,49.47,16.5,false,0,none
313,16O,44.75,49.83,18.47,false,0,none
314,1H,45.1,50.65,18.83,false,0,none
315,12C,45.95,47.89,17.55,false,0,none
316,1H,46.47,47.73,16.58,false,0,none
317,16O,44.77,47.05,17.57,false,0,none
