signal_0,signal_1
1+0i,1+0i
1+0i,0.6180039534611382-0.7861738682892461i
1+0i,-0.23614004853088422-0.9717154049391907i
1+0i,-0.9098695353582827-0.4148753641849875i
1+0i,-0.8884624426064102+0.458918610689988i
1+0i,-0.18828215537214854+0.9820925479560156i
1+0i,0.6557306029699393+0.7549529353163058i
1+0i,0.9987578136810982-0.04895384835055494i
1+0i,0.5787429014865367-0.8154409060935057i
1+0i,-0.28340893463996153-0.95892472975682i
1+0i,-0.9290146710487112-0.3698047100976383i
1+0i,-0.864850297317682+0.5018174410225533i
1+0i,-0.13996243082096144+0.9900286736607052i
1+0i,0.6918227056855784+0.7218611739355456i
1+0i,0.9950347618382257-0.09777763321197244i
1+0i,0.5380519211587935-0.842676500325945i
1+0i,-0.32996330682359476-0.9437548203559203i
1+0i,-0.9458473351359576-0.32382654956267554i
1+0i,-0.8390962241091722+0.5434580882904672i
1+0i,-0.09130933973705557+0.9955031915000914i
1+0i,0.7261847456745182+0.6869869210675849i
1+0i,0.9888413547962256-0.14634167922715818i
1+0i,0.4960395041732928-0.8678088517993183i
1+0i,-0.3756797013074807-0.9262466842945392i
1+0i,-0.9603235528684838-0.27706331804382117i
1+0i,-0.8112693782774643+0.5837303662390422i
1+0i,-0.042452252596692344+0.9985024656421465i
1+0i,0.7587261194278768+0.6504235190745367i
1+0i,0.9801950730792699-0.1945170860234232i
1+0i,0.452817835042382-0.8907721233015118i
1+0i,-0.42043706524664903-0.906447914499004i
1+0i,-0.9724060185184569-0.22963961923802512i
1+0i,-0.7814447374909078+0.622527996861606i
1+0i,0.006478940835093094+0.9990198532444721i
1+0i,0.7893614043813768+0.6122690353976596i
1+0i,0.9691203125182044-0.24217611251016827i
1+0i,0.40850245484028364-0.9115066335591084i
1+0i,-0.46411711685032153-0.8844125443832881i
1+0i,-0.9820642036216617-0.18168185230888045i
1+0i,-0.7497028752800022+0.659748925604544i
1+0i,0.05535421929951606+0.9970557207450196i
1+0i,0.818010611045021+0.5726259674810099i
1+0i,0.9556483076665375-0.289192557356111i
1+0i,0.36321191457191393-0.9299590317738468i
1+0i,-0.5066046966201891-0.8602008828172913i
1+0i,-0.9892744438768728-0.1333178336810361i
1+0i,-0.7161297170814801+0.6952956231340355i
1+0i,0.1040438180273538+0.9926174381327058i
1+0i,0.8445994179202839+0.5316009339615428i
1+0i,0.9398170337896706-0.3354421343941222i
1+0i,0.3170674193141686-0.9460824521680307i
1+0i,-0.5477881085497729-0.8338793295000877i
1+0i,-0.9940200044316523-0.08467641464555295i
1+0i,-0.6808162796513906+0.7290753726786419i
1+0i,0.15241861563175474+0.9857193512315748i
1+0i,0.8690593884425883+0.48930435315300774i
1+0i,0.9216710877657537-0.3808028417201611i
1+0i,0.27019246430922045-0.9598366480443699i
1+0i,-0.5875594501681741-0.8055201713616057i
1+0i,-0.9962911233564318-0.035887096039626476i
1+0i,-0.6438583947194603+0.7610005420125223i
1+0i,0.20035051863649805+0.9763827321081424i
1+0i,0.8913281692495265+0.4458501098939102i
1+0i,0.9012615483090997-0.4251553232755534i
1+0i,0.22271246421621763-0.9711881049369666i
1+0i,-0.6258149303509672-0.7752013606810547i
1+0i,-0.9960850331842632+0.012920358726931647i
1+0i,-0.6053564178104478+0.7909888391980298i
1+0i,0.24771284237509977+0.9646357077870196i
1+0i,0.9113496691405156+0.4013552118690342i
1+0i,0.8786458159981365-0.46838322172911473i
1+0i,0.17475437675011646-0.9801101325027757i
1+0i,-0.6624551738643938-0.7430062756729339i
1+0i,-0.9934059604694896+0.06161631102169762i
1+0i,-0.5654149232085415+0.8189635512633586i
1+0i,0.29438068701008857+0.9505131675345619i
1+0i,0.9290742181609797+0.3559394365490594i
1+0i,0.8538874336590307-0.5103735215070346i
1+0i,0.12644632195426003-0.9865829348767663i
1+0i,-0.6973855116561634-0.7090234643510043i
1+0i,-0.9882651033945631+0.11007163343975596i
1+0i,-0.5241423860873656+0.8448537650511231i
1+0i,0.34023130744029456+0.934056649044038i
1+0i,0.9444587063135327+0.3097249699236585i
1+0i,0.8270558877231611-0.5510168808540012i
1+0i,0.0779171983667255-0.9905936592886442i
1+0i,-0.7305162559566758-0.6733463725372272i
1+0i,-0.9806805875299914+0.15815809408241122i
1+0i,-0.48165085287102033+0.8685945695361605i
1+0i,0.38514447588688727+0.9153142039280311i
1+0i,0.9574667014696729+0.26283603823005053i
1+0i,0.7982263912413767-0.5902079518486291i
1+0i,0.029296297349188927-0.9921364228144606i
1+0i,-0.7617629593084199-0.636073056936036i
1+0i,-0.9706773999275722+0.2057487374025304i
1+0i,-0.4380556009304604+0.8901272389761404i
1+0i,0.42900283597612454+0.8943402429946787i
1+0i,0.9680685461280505+0.21539853390113783i
1+0i,0.7674796493001728-0.627845687339639i
1+0i,-0.019287083148757767-0.9912123172120015i
1+0i,-0.7910466566982852-0.5973058842442244i
1+0i,-0.9582873018015788+0.25271826036862993i
1+0i,-0.3934747887543496+0.9093993963256882i
1+0i,0.47169224716833796+0.8711953618531093i
1+0i,0.9762414327389425+0.16753963697509808i
1+0i,0.734901607644125-0.6638336338162414i
1+0i,-0.06770402411733306-0.9878293918646236i
1+0i,-0.8182940900273906-0.5571512173131166i
1+0i,-0.9435487201259485+0.2989433827183184i
1+0i,-0.3480290977641891+0.9263651564140115i
1+0i,0.5131021184181017+0.8459461474603128i
