signal_1,signal_2
-0.5+0i,-0.5+0i
0.25868143729199555-0.42788295724322634i,0.2586813406002233-0.42788224733311536i
0.23233543105053667+0.44274104699111916i,0.23233340964333038+0.4427396115166918i
-0.49908510738399925-0.030233328933674634i,-0.499081051535635-0.03023460574808575i
0.2840807803146861-0.41145842746345124i,0.28407813692651956-0.4114514020984154i
0.20513917666601533+0.4559794871737546i,0.20513203460503224+0.45597012835032547i
-0.4963437776503201-0.060356017574485735i,-0.4963276422058691-0.06035711775420535i
0.30844050942399615-0.3935281371437888i,0.30842966549061407-0.393508874383223i
0.17719220075743303+0.4675492374143611i,0.17717809508573235+0.46752393479118043i
-0.49178604288926847-0.09025782981001669i,-0.4917500671373445-0.09025586379729446i
0.33167147846605627-0.3741577034515152i,0.33164570541675403-0.37412127240125753i
0.1485967772623752+0.47740795739254516i,0.14857527925394645+0.47735831106051185i
-0.4854285824539878-0.11982933784069869i,-0.4853654413802164-0.1198200153480704i
0.3536886720644036-0.3534180138605711i,0.3536402880346961-0.3533606025923214i
0.1194575531582946+0.48551956842433686i,0.1194296927053385+0.48543696986288i
-0.4772946619211866-0.14896232263859321i,-0.47719763484309996-0.14894000537341545i
0.3744115167397733-0.331384966733832i,0.3743320206389621-0.33130399764982066i
0.08988116549948524+0.49185438549468874i,0.0898494581641011+0.49173019256533823i
-0.46741404794911146-0.17755016998258916i,-0.4672771815544174-0.17750794130587946i
0.39376417577445144-0.3081391935676726i,0.3936443928182768-0.30803342508843684i
0.05997585117123022+0.49638922589188983i,0.05994430756156718+0.49621494038928254i
-0.45582289934435366-0.20548826062069553i,-0.4556411636004622-0.20541801159601908i
0.4116758267421158-0.28376576391529634i,0.41150606418289365-0.2836353774709212i
0.02985105078925443+0.4991074940463424i,0.02982516805666729+0.49887494019201617i
-0.44256363473613536-0.23267435313160306i,-0.4423330701886826-0.23256688429025335i
0.4280809206875188-0.25835387406868027i,0.4278511323902088-0.25820054548426175i
-0.00038299180595877114+0.49999924226322334i,-0.000396256414253465+0.49970074451345897i
-0.4276847773423322-0.2590089580844067i,-0.4274026323805457-0.25885409610793536i
0.4429194220075331-0.23199652063842752i,0.4426193804445699-0.23182347512121862i
-0.0306156329943105+0.4990612071267776i,-0.030607906453470127+0.4986897656626936i
-0.4112407773953205-0.2843957021272242i,-0.4109056341323438-0.2841824305284062i
0.45613702815569235-0.20479016022608498i,0.45575650232815246-0.2046022102844757i
-0.060736234284249124+0.4962968214430203i,-0.06069778976861348+0.49584628371942935i
-0.393291812877496-0.3087416806723019i,-0.39290370037361544-0.3084582834415952i
0.46768536836620594-0.17683435643437823i,0.4672143061033457-0.17663792218677563i
-0.09063456720216675+0.4917162016771393i,-0.09055440337006189+0.4911814284265144i
-0.3739035692956853-0.33195779788693436i,-0.3734640629414156-0.33159201496392793i
0.47752218067020225-0.14823141550715657i,0.4769508937143783-0.14803452697083855i
-0.12020121668130335+0.48533611093157447i,-0.12006715378130421+0.48471313505011515i
-0.3531469993003816-0.3539590927459728i,-0.3526593052740624-0.3534982860755272i
0.4856114665563963-0.11908601193244797i,0.4849308168063471-0.1188982930182607i
-0.1493279814739341+0.4771798976002571i,-0.14912677365213048+0.4764660743850759i
-0.3310980630294953-0.37466504995271477i,-0.3305670868497121-0.374096378793321i
0.4919236227101918-0.0895048053787568i,0.4911252079723781-0.08933743945568526i
-0.17790827012149782+0.46727740992350886i,-0.17762573317962377+0.46647155718258376i
-0.3078374501268495-0.39399989459033435i,-0.30726984843294347-0.39331049865900075i
0.4964355493491072-0.05959605036645327i,0.4955118869351294-0.05946172740018309i
-0.20583749103358803+0.45566488675629235i,-0.2054586447620545+0.4547674133761208i
-0.2834502844527143-0.41189286942555625i,-0.28285449926650424-0.4110700583895682i
0.49913073475806585-0.02946920010268949i,0.4980754412656029-0.02938204551317728i
-0.23301343524828635+0.44238482494955494i,-0.23252265933764318+0.44139784657875286i
-0.25802581256701124-0.4282784938497626i,-0.2574120874144405-0.42730994161111i
0.49999931571518624+0.000765494070363894i,0.4988072813408782+0.0007900085463860108i
-0.2593366504730963+0.4274858238299931i,-0.25871785289320237+0.4264132644203075i
-0.2316570771252065-0.4430968035099177i,-0.23103745452757896-0.4419707456743189i
0.49903811358694183+0.03099738614811269i,0.49770566934199245+0.03094254916378755i
-0.28471080503765167+0.4110224073473743i,-0.28394760166589766+0.4098700853859376i
-0.2044405763821242-0.45629356975236457i,-0.20382887636171468-0.45499900263117776i
0.49625064596059454+0.06111584038042872i,0.49477572219373983+0.06096382469055598i
-0.30904304042628633+0.3930548245402811i,-0.30811894460617234+0.39183052290806564i
-0.1764759110497488-0.46782049807642345i,-0.17588769043346994-0.4663473775372564i
0.49164711377133563+0.09101063615101299i,0.49002938844847765+0.09074263862939229i
-0.33224431110034897+0.3736488290504886i,-0.3311429317195153+0.3723623475511676i
-0.1478654198013649-0.4776354048715374i,-0.1473179122476359-0.4759748433319871i
0.4852443639712416+0.1205723713375473i,0.4834853992171051+0.12016876846845685i
-0.35422971036665796+0.35287543849285435i,-0.3529349569602921+0.3515386282131262i
-0.11871380475593565-0.4857023717911829i,-0.11822584157301672-0.4838468316402299i
0.477065827876658+0.14969286267650844i,0.4751691933505176+0.14913338056148867i
-0.37491878109955784+0.33081067456132784i,-0.3734150744111571+0.329437453347261i
-0.08912774831328224-0.49199187719860205i,-0.08871966028174916-0.489935358931917i
0.46714143541963976+0.17826554166748293i,0.46511281717372727+0.17752943946632876i
-0.39423581017946946+0.3075352848221772i,-0.3925082965468654+0.30614163328578003i
-0.059215522742287224-0.49648090420332414i,-0.05890902329822922-0.4942191275718156i
0.4555075056172443+0.20618584456814182i,0.4533547991736117+0.2052521101769284i
-0.41211010557041294+0.2831344472125522i,-0.4101448734514739+0.2817383848177055i
-0.02908659395085808-0.4991530248931054i,-0.028904644229873638-0.4966836013892157i
0.44220661365951647+0.2333515950526609i,0.4399400001373208+0.2321991517124326i
-0.42847625502251957+0.2576974583257907i,-0.4262605519320622+0.2563189992421588i
