signal_0,signal_1
1+0i,1+0i
-0.5173628745839911+0.8557659144864527i,-0.5173626812004466+0.8557644946662307i
-0.46467086210107333-0.8854820939822383i,-0.46466681928666076-0.8854792230333836i
0.9981702147679985+0.06046665786734927i,0.99816210307127+0.0604692114961715i
-0.5681615606293722+0.8229168549269025i,-0.5681562738530391+0.8229028041968308i
-0.41027835333203067-0.9119589743475092i,-0.4102640692100645-0.9119402567006509i
0.9926875553006402+0.12071203514897147i,0.9926552844117382+0.1207142355084107i
-0.6168810188479923+0.7870562742875776i,-0.6168593309812281+0.787017748766446i
-0.35438440151486605-0.9350984748287222i,-0.3543561901714647-0.9350478695823609i
0.9835720857785369+0.18051565962003338i,0.983500134274689+0.18051172759458892i
-0.6633429569321125+0.7483154069030304i,-0.6632914108335081+0.7482425448025151i
-0.2971935545247504-0.9548159147850903i,-0.2971505585078929-0.9547166221210237i
0.9708571649079756+0.23965867568139737i,0.9707308827604328+0.2396400306961408i
-0.7073773441288072+0.7068360277211422i,-0.7072805760693922+0.7067212051846428i
-0.2389151063165892-0.9710391368486737i,-0.238859385410677-0.97087393972576i
0.9545893238423732+0.29792464527718643i,0.9543952696861999+0.2978800107468309i
-0.7488230334795466+0.662769933467664i,-0.7486640412779242+0.6626079952996413i
-0.1797623309989705-0.9837087709893775i,-0.1796989163282022-0.9834603851306765i
0.9348280958982229+0.3551003399651783i,0.9345543631088348+0.3550158826117589i
-0.7875283515489029+0.6162783871353452i,-0.7872887856365536+0.6160668501768737i
-0.11995170234246044-0.9927784517837797i,-0.11988861512313435-0.9924298807785651i
0.9116457986887073+0.41097652124139106i,0.9112823272009244+0.41083602319203816i
-0.8233516534842316+0.5675315278305927i,-0.8230121283657873+0.5672707549418424i
-0.05970210157850886-0.9982149880926848i,-0.05965033611333458-0.9977498803840323i
0.8851272694722707+0.4653487062632061i,0.8846661403773652+0.4651337685805067i
-0.8561618413750376+0.5167077481373605i,-0.8557022647804176+0.5164010909685235i
0.0007659836119175423-0.9999984845264467i,0.00079251282850693-0.9994014890269179i
0.8553695546846644+0.5180179161688134i,0.8548052647610914+0.5177081922158707i
-0.8858388440150662+0.46399304127685503i,-0.8852387608891398+0.46364695024243724i
0.061231265988621-0.9981224142535552i,0.06121581290694025-0.9973795313253871i
0.822481554790641+0.5687914042544484i,0.8218112682646876+0.5683648610568124i
-0.9122740563113847+0.40958032045216997i,-0.9115130046563049+0.4092044205689514i
0.12147246856849825-0.9925936428860406i,0.12139557953722696-0.9916925674388587i
0.786583625754992+0.6174833613446038i,0.7858074007472309+0.6169165668831904i
-0.9353707367324119+0.35366871286875645i,-0.9344286122066914+0.35327584437355125i
0.1812691344043335-0.9834324033542786i,0.18110880674012378-0.9823628568530288i
0.7478071385913706+0.6639155957738687i,0.7469281258828312+0.6631840299278559i
-0.9550443613404045+0.29646283101431314i,-0.9539017874287566+0.2960690539416771i
0.2404024333626067-0.9706722218631489i,0.24013430756260842-0.9694262701002303i
0.7062939986007633+0.7079181854919456i,0.7053186105481248+0.7069965721510544i
-0.9712229331127926+0.23817202386489594i,-0.9698616336126942+0.2377965860365214i
0.2986559629478682-0.9543597952005142i,0.29825354730426096-0.9529321487701518i
0.6621961260589906+0.7493300999054295i,0.6611341736994242+0.748192757586642i
-0.9838472454203836+0.1790096107575136i,-0.9822504159447562+0.17867487891137052i
0.35581654024299564-0.9345548198470177i,0.35525146635924754-0.9329431143651675i
0.615674900253699+0.7879997891806687i,0.6145396968658869+0.7866209973180015i
-0.9928710986982144+0.11919210073290654i,-0.9910237738702588+0.11892345480036617i
0.41167498206717607-0.9113297735125847i,0.410917289524109-0.9095348267522416i
0.5669005689054286+0.8237857388511125i,0.5657089985330085+0.8221401167791365i
-0.9982614695161317+0.05893840020537898i,-0.9961508825312058+0.05876409102635456i
0.4660268704965727-0.8847696498991099i,0.46504531867528637-0.8827956931575057i
0.5160516251340225+0.8565569876995252i,0.514824174828881+0.85461988322222i
-0.9999986314303725-0.001530988140727788i,-0.9976145626817564-0.0015800170927720216i
0.5186733009461926-0.8549716476599862i,0.5174357057864047-0.852826528840615i
0.463314154250413+0.8861936070198354i,0.4620749090551579+0.8839414913486378i
-0.9980762271738837-0.06199477229622538i,-0.9954113386839849-0.0618850983275751i
0.5694216100753033-0.8220448146947485i,0.5678952033317953-0.8197401707718752i
0.4088811527642484+0.9125871395047291i,0.40765775272342936+0.9099980052623555i
-0.9925012919211891-0.12223168076085744i,-0.9895514443874797-0.12192764938111196i
0.6180860808525727-0.7861096490805622i,0.6162378892123447-0.7836610458161313i
0.3529518220994976+0.9356409961528469i,0.3517753808669399+0.9326947550745128i
-0.9832942275426713-0.18202127230202597i,-0.9800587768969553-0.18148527725878458i
0.6644886222006979-0.7472976581009771i,0.6622858634390306-0.7447246951023352i
0.2957308396027298+0.9552708097430748i,0.2946358244952718+0.9519496866639742i
-0.9704887279424832-0.2411447426750946i,-0.9669707984342102-0.2403375369369137i
0.7084594207333159-0.7057508769857087i,0.7058699139205842-0.7030772564262524i
0.2374276095118713+0.9714047435823658i,0.23645168314603343+0.9676936632804598i
-0.954131655753316-0.2993857253530169i,-0.9503383867010352-0.29826676112297734i
0.7498375621991157-0.6616213491226557i,0.7468301488223142-0.658874906694522i
0.17825549662656448+0.9839837543972041i,0.17743932056349832+0.979870717863834i
-0.9342828708392795-0.35653108333496586i,-0.9302256343474545-0.35505887893265753i
0.7884716203589389-0.6150705696443544i,0.7850165930937308-0.6122832665715601i
0.11843104548457445+0.9929618084066483i,0.11781804659645843+0.9884382551436312i
-0.9110150112344886-0.41237168913628364i,-0.9067095983472234-0.4105042203538568i
0.8242202111408259-0.5662688944251044i,0.8202897469029478-0.563476769635411i
0.05817318790171616+0.9983060497862108i,0.057809288459747275+0.9933672027784314i
-0.8844132273190329-0.4667031901053218i,-0.8798800002746416-0.4643983034248652i
0.8569525100450391-0.5153949166515814i,0.8525211038641244-0.5126379984843176i
-0.002297558224631069+0.999996920906076i,-0.002364245457858653+0.994642110991017i
-0.854574870205131-0.5193267562664425i,-0.8498388786657983-0.5165426011225234i
0.8865487309055872-0.4626348132484217i,0.8815936271010157-0.459956990361492i
-0.06275989591638564+0.9980282339036303i,-0.06247940602988294+0.9922612003554669i
-0.8216091354738397-0.570049807952397i,-0.8167001948318924-0.5667452850368907i
0.9129005642561794-0.4081816635505814i,0.9074021813544438-0.4056305149815684i
-0.12299255896672745+0.9924071933283843i,-0.12231344484893925+0.9862363575921748i
-0.7856366635660927-0.6186867205632547i,-0.7805893936707085-0.6148219430010073i
0.9359115736963923-0.35223474271583644i,0.9298539195117933-0.34986132734757774i
-0.18277512167945376+0.9831543697764147i,-0.18164485347907328+0.9765930794281236i
-0.7467890982904628-0.6650595038727745i,-0.7416429211951817-0.6605962679465663i
0.9554975488075033-0.2949987924632297i,0.9488686221150656-0.2928573984415915i
-0.24188880553242242+0.9703036246108085i,-0.2402541972901531+0.9633703647803288i
-0.7052086050633212-0.7089984533962425i,-0.7000077006635964-0.7039007153703702i
0.9715868133264849-0.23668327180624965i,0.9643789885857145-0.23483112675538562i
-0.30011727981305114+0.9539019860436098i,-0.29792494068347497+0.9466205557193129i
-0.6610473506444281-0.7503427714360533i,-0.6558405693544896-0.7445771269194192i
0.9841204874503627-0.177501590522736i,0.9763308790931373-0.17599853369878607i
-0.3572474532958785+0.9340094770327443i,-0.35444426055503137+0.926409127867551i
-0.6144669462718979-0.788941155532271i,-0.6093076781792752-0.7824773177357719i
0.9930527033110262-0.11767032816668475i,0.9846835061841942-0.11657844598297393i
-0.4130702540649965+0.9106988956237558i,-0.40960384488991036+0.9028144310818558i
-0.5656378562344285-0.8246523521646978i,-0.5605838564673129-0.8174636253441444i
0.9983507728319401-0.05740844148003079i,0.9894095754869153-0.05679166812373902i
-0.4673813946275333+0.8840555485402022i,-0.46320067344250493+0.8759273814605242i
-0.5147387740451642-0.8573456736801353i,-0.509851944390467-0.8494094180161835i
