pdbID_3,pdbID_4,pdbID_5,pdbID_7,pdbID_8,pdbID_9,pdbID_11,pdbID_12,pdbID_14,pdbID_15,pdbID_17,pdbID_18,pdbID_21,pdbID_22,pdbID_23,pdbID_25,pdbID_26,pdbID_27,pdbID_28
0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0
1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0
1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0
1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0
0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0
1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0
0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0
0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
