time,signal
0,1+0i
1e-07,0.862002642462401-5.7492003723139e-05i
2e-07,0.995904963893041+4.43333430885792e-06i
3e-07,0.940252318094132+1.31097855510834e-06i
4e-07,0.961956222217943+6.37036693999424e-05i
5e-07,0.93685463036071-9.17909308779919e-05i
6e-07,0.912785214047596+1.7222485451661e-05i
7e-07,0.88434660769063-0.00153155646162864i
8e-07,0.883196567588941-3.82567190528693e-05i
9e-07,0.890455369508115-0.00179541470711059i
1e-06,0.878712202532094-0.000292650351451154i
1.1e-06,0.921526353190302-9.17331707002612e-05i
1.2e-06,0.896616517549398-0.000753263107971247i
1.3e-06,0.904085727262792-0.000532137027078189i
1.4e-06,0.893992638623672+1.79484941529907e-06i
1.5e-06,0.843081213537485-0.00282415266329815i
1.6e-06,0.831276669234475+0.000455294431940546i
1.7e-06,0.787576771657434-0.00224261130687375i
1.8e-06,0.766479139239029-0.00136494258255292i
1.9e-06,0.76320785257876-0.000171657102189473i
2e-06,0.743064830075984-0.00142056610792918i
2.1e-06,0.743447898940995+0.000126033313476275i
2.2e-06,0.722443414647103+0.00129186861770565i
2.3e-06,0.701651639331066-0.00110033321296953i
2.4e-06,0.688694118248952+0.000982945098036244i
2.5e-06,0.659120186210714-0.00248889590473933i
2.6e-06,0.6718596839024-0.00141740618509836i
2.7e-06,0.647421098655492-0.00177979671553193i
2.8e-06,0.667926472661777-4.13494319994114e-05i
2.9e-06,0.66253436013606+0.000298951000932776i
3e-06,0.662027783781675+0.00179891060668873i
3.1e-06,0.670146125223222-0.000548121729856264i
3.2e-06,0.653153558789399+0.00068921953123303i
3.3e-06,0.644847177458286-0.00215553071451541i
3.4e-06,0.633535427342055+2.48562429602599e-05i
3.5e-06,0.629484273840033-0.000953520547701707i
3.6e-06,0.625565780814595-7.58247660462849e-05i
3.7e-06,0.648543280029135-0.000139483830206987i
3.8e-06,0.640696451936109-0.00047271604844152i
3.9e-06,0.645830936082928-0.000203629762690143i
4e-06,0.650860415515598-0.000120126238522151i
4.1e-06,0.613701536799938+0.000940793478488847i
4.2e-06,0.638832317009523+0.000314723115153229i
4.3e-06,0.607646731653124+0.000729910773504934i
4.4e-06,0.624201412048519-0.000411772262798064i
4.5e-06,0.623324050247262-0.00117551097584795i
4.6e-06,0.625429240927559-0.000563001752010228i
4.7e-06,0.626508181286675+0.000211792062119769i
4.8e-06,0.640110532531449+9.51931854495636e-05i
4.9e-06,0.625404665652978+0.00304881794691343i
5e-06,0.646066356127104+0.000521051074449088i
5.1e-06,0.630183907061188+0.00114599085916543i
5.2e-06,0.645085237134265+0.000857556736779266i
5.3e-06,0.642410178403837-0.00204118747582756i
5.4e-06,0.661483289088883+0.000603580641150744i
5.5e-06,0.661822555853064-0.000546763971305573i
5.6e-06,0.677858172783837-5.93684420167104e-05i
5.7e-06,0.679559101778107+0.0022400551633271i
5.8e-06,0.67355796954733+0.000288705369176834i
5.9e-06,0.693654437796344+0.000636095385441093i
6e-06,0.680636279395907+0.000459219567687835i
6.1e-06,0.712038556733242-0.00228365240993703i
6.2e-06,0.710864806654895+4.74018590420929e-06i
6.3e-06,0.731230003685684-0.00111530620954009i
6.4e-06,0.734305960586488+0.000212027833381751i
6.5e-06,0.748211991492075+0.00116325969258288i
6.6e-06,0.75417516972148-0.000254840159594309i
6.7e-06,0.753050083235062+0.000234650401460567i
6.8e-06,0.778113529108941-0.000557824754538695i
6.9e-06,0.746638534553675-0.00100938693985781i
7e-06,0.78065518407441+0.000562985777569188i
7.1e-06,0.751163874422255-0.000674195636542334i
7.2e-06,0.764887741182796+0.00089481482971726i
7.3e-06,0.762118036271302-0.000185497487340231i
7.4e-06,0.763703270270456-0.000122527372464281i
7.5e-06,0.748814692351599+0.000666964569615099i
7.6e-06,0.763816565187671+4.0365169397403e-05i
7.7e-06,0.733647358903825+0.00112934732133031i
7.8e-06,0.759807921021315+0.000555375704119511i
7.9e-06,0.752769641447328+0.000518889687583366i
8e-06,0.763979257980821-4.12604157295731e-05i
8.1e-06,0.762954707340005+0.000465711666502754i
8.2e-06,0.770212535653204+4.3085606418298e-05i
8.3e-06,0.752294089798557+0.00137154025494548i
8.4e-06,0.777734732544587+0.000360953898275406i
8.5e-06,0.76811335349654+0.00174282214871836i
8.6e-06,0.779624559226866-0.000163376150121431i
8.7e-06,0.79107941156917+0.00122343350484016i
8.8e-06,0.771597878974673-1.02307057899436e-05i
8.9e-06,0.780523495596902-1.88597406740433e-05i
9e-06,0.768564010364892+0.000765073982678189i
9.1e-06,0.754744678259593-0.000112263580357227i
9.2e-06,0.761922582264959+0.000886530823411411i
9.3e-06,0.734311472085384+0.00126297661479063i
9.4e-06,0.744357679500734+0.000745320047520025i
9.5e-06,0.724888732364962+0.000861694332242493i
9.6e-06,0.73351632580865+0.000255896409403512i
9.7e-06,0.72199766330418-0.00040992506349145i
9.8e-06,0.720164895591145+0.000680515530459986i
9.9e-06,0.718306308131386+0.000498514693749295i
