radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
2.71128198459696e-10,0,0,0,0
2.68258271074724e-10,0,0,0,0
2.7528439839555e-10,0,0,0,0
2.59598728810447e-10,0,0,0,0
3.6687395655729e-10,0,0,1,15
2.6499150929794e-10,0,0,1,15
3.14962696203852e-10,0,0,1,15
2.64678106385852e-10,0,0,1,21
3.69615340590729e-10,0,0,1,21
3.08265307811308e-10,0,0,1,21
4.03290837981723e-10,1,11,121,1223
3.48084041576169e-10,1,12,140,1464
4.74516069274793e-10,1,15,163,1614
3.95124663872049e-10,1,9,79,720
3.4515721055774e-10,1,9,110,1155
4.02306475215103e-10,1,14,154,1495
2.77558102025504e-10,0,0,1,10
3.72456037674246e-10,0,0,1,10
3.17604313572722e-10,0,0,1,10
3.63890780317391e-10,0,0,1,13
2.53626694178669e-10,0,0,1,13
2.91162325859648e-10,0,0,1,13
7.28937583061818e-11,1,0,0,0
7.70553372583626e-10,1,6,48,430
7.65295041144264e-10,1,8,69,623
7.41101544999064e-10,1,6,46,389
7.03217249504021e-10,1,8,72,641
7.65134301936595e-10,1,4,33,287
7.93515910363491e-10,1,6,46,392
6.92786042007199e-10,1,7,53,450
5.27973010673841e-10,1,10,92,880
7.88220464083495e-10,1,4,22,127
6.67845416245407e-10,1,8,81,772
7.59556120375579e-10,1,5,44,380
6.28158021520063e-10,1,9,79,668
6.74277020222401e-10,1,10,89,735
7.93585219116385e-10,1,7,40,289
7.60125318615293e-10,1,4,21,153
5.63596930438767e-10,1,9,74,647
5.53304165897926e-10,1,11,102,935
7.71432109780245e-10,1,6,42,338
7.80133642397251e-10,1,5,42,351
7.37487966003514e-10,1,7,64,539
7.35047957619093e-10,1,8,67,517
7.38006436286297e-10,1,8,56,350
7.63048818883825e-10,1,4,22,128
6.8235144903488e-10,1,3,13,92
6.12982463044417e-10,1,6,47,387
7.97517084456502e-10,1,4,28,212
6.74832942290164e-10,1,6,40,302
5.42548154544829e-10,1,11,98,827
6.80129767029792e-10,1,5,32,217
7.23126890663043e-10,1,7,45,289
7.91729436108068e-10,1,4,23,151
6.30045633267941e-10,1,9,91,907
7.54083881275817e-10,1,7,56,463
7.83486758024665e-10,1,6,48,426
5.86692849794507e-10,1,10,111,1126
5.43050181843262e-10,1,12,114,1013
7.1263209301855e-10,1,8,53,397
5.98901911835319e-10,1,5,33,250
5.41443902911465e-10,1,9,75,666
6.91021345545852e-10,1,8,76,739
7.65399568852766e-10,1,8,72,702
6.85815937405949e-10,1,11,107,1037
4.77670911821099e-10,1,12,143,1542
3.92411136437283e-10,1,14,165,1734
5.92885739413591e-10,1,13,121,1095
6.92196865060801e-10,1,7,65,596
6.60737088409604e-10,1,8,83,856
6.25787104373365e-10,1,11,104,862
7.88895747231534e-10,1,6,41,317
7.83400599948711e-10,1,7,57,474
7.91992108546544e-10,1,5,35,263
6.77839582792271e-10,1,9,76,648
7.9177301040134e-10,1,7,55,465
7.36490665249737e-10,1,7,63,545
6.41709825388392e-10,1,6,46,378
7.73580958917682e-10,1,4,31,266
7.7339543572483e-10,1,6,44,301
6.71098725971075e-10,1,8,54,344
7.35264238216438e-10,1,7,48,329
7.32923938754902e-10,1,10,92,805
5.85159379998304e-10,1,5,44,388
7.05430010702692e-10,1,5,31,209
7.4250690232482e-10,1,6,57,522
6.16154607221272e-10,1,9,80,732
6.77712697239767e-10,1,9,85,813
7.71805351108684e-10,1,7,62,586
5.73436570162734e-10,1,11,121,1161
6.29188763408884e-10,1,9,75,645
4.30009883607342e-10,1,9,81,738
7.37536778743949e-10,1,10,88,762
5.72685341177858e-10,1,10,111,1137
6.0718901505215e-10,1,14,157,1574
4.76619869497695e-10,1,12,126,1227
4.3502701065566e-10,0,0,0,0
5.76408275443717e-10,0,0,0,0
4.24356571764831e-10,0,0,0,0
7.74112717890618e-10,0,0,0,0
7.88557860908127e-10,0,0,0,0
5.82453002395902e-10,0,0,0,0
7.12236968992764e-10,0,0,0,0
6.86030975977033e-10,0,0,0,0
5.07024161159998e-10,0,0,0,0
3.80740725428736e-10,0,0,1,16
4.4976160351902e-10,0,0,1,16
5.39825434747196e-10,0,0,1,16
4.9295385179548e-10,1,9,70,499
3.17306634030869e-10,1,8,67,518
5.03745471443665e-10,1,9,75,587
4.15181285705413e-10,1,10,89,736
5.69979385592146e-10,0,0,1,8
4.96626116912915e-10,0,0,1,8
6.71436147373672e-10,0,0,1,8
6.39411057145558e-10,1,5,27,194
5.22167118842234e-10,1,5,34,310
7.29586526739632e-10,1,4,18,118
4.04749922791839e-10,0,0,1,16
3.41991958969798e-10,0,0,1,16
4.92603796168889e-10,0,0,1,16
4.9859151617331e-10,1,6,28,154
6.13496943757668e-10,1,6,37,220
6.53316538899789e-10,1,4,17,86
5.43041895253027e-10,1,5,31,211
7.53045483354093e-10,0,0,1,6
6.87843368798449e-10,0,0,1,6
7.57649325215829e-10,0,0,1,5
7.10107386245208e-10,0,0,1,5
5.85946669928245e-10,0,0,1,16
5.62286848503502e-10,0,0,1,16
6.88515431925822e-10,0,0,1,16
3.95344786230956e-10,1,14,153,1453
