bath,methyl_5_6_7,methyl_8_9_10,methyl_17_18_19,methyl_20_21_22,methyl_106_107_108,methyl_113_114_115,methyl_119_120_121,methyl_126_127_168,methyl_128_129_169,methyl_130_131_132,methyl_140_141_142,methyl_152_153_154,methyl_147_148_149
0.999999999998476-1.18083579715032e-30i,1+1.04963181969104e-32i,0.999999999999995-1.36259543565396e-32i,1-8.00464633135945e-33i,0.999999999999997-5.39260384428425e-33i,0.999999999999999-6.74075480535532e-34i,1-2.7925984193615e-33i,1+6.74075480535535e-33i,1+2.50370892770341e-33i,1-1.10740971802266e-33i,1-4.91112135818745e-33i,0.999999999999999-8.85927774418128e-33i,1+5.97038282760043e-33i,1+0i
0.951905444771924+5.9092452927146e-06i,0.964560132518873+9.71723606904737e-06i,0.988681090818805+1.37689239390549e-06i,0.969415368567664-4.75944566170657e-06i,0.985833739390292-2.06430119820516e-06i,0.997095459009579-1.27151578439456e-06i,0.999913862226439-2.32280829300687e-09i,0.99432582060344-1.899135748089e-06i,0.999872032743464-7.11722466221793e-09i,0.999841588727339+4.52350684775851e-09i,0.999607548158381+1.94569314857084e-07i,0.999913201533237+7.89854760747582e-09i,0.999732984397929-9.34292931483434e-08i,0.999616462093789+9.06339565998703e-10i
0.999392089937673-1.67612648300213e-07i,0.999475740914162-8.5540685340461e-07i,0.999723977542386+2.4797860249957e-07i,0.999905557837263-8.33037021253279e-08i,0.999620723589413+2.83846073639839e-07i,0.99996323212277+3.23181941722151e-08i,0.999998456139403-2.70853349878821e-10i,0.999920485336201-9.40208133447774e-08i,0.99999819951626-3.79177001381754e-10i,0.999997758998451+3.06839320914358e-10i,0.999994180713596-8.54517203852811e-09i,0.999998734891174+5.91221474432983e-10i,0.999995776443875-5.48223425078717e-09i,0.999994752621126+1.6513752937305e-10i
0.976112269899803+1.3273741762383e-05i,0.994893151281196+7.90810436593879e-06i,0.995270520048185+1.04798351873053e-05i,0.992207158048537-1.80391757349623e-05i,0.99273189557728-1.90523693268271e-06i,0.998317152035002-3.04927418511234e-06i,0.99994624107436-9.75325443725378e-09i,0.996662686772775-8.53524547114067e-06i,0.999921894480639-3.67725712241879e-08i,0.999903297991054+2.35610476580235e-08i,0.999759576891565+4.00847670359084e-07i,0.999947619473465+3.83609661193798e-08i,0.999837630322389-4.51227013666947e-07i,0.999766763120759+2.75836719707538e-09i
0.992917625421953-3.95156197880743e-06i,0.996438580533929-5.76225090944065e-06i,0.997871627540328+5.89136560020597e-06i,0.998995661168266-8.93556979438156e-08i,0.997151451370051+2.62485368630496e-06i,0.999545191718511+1.09989114957409e-06i,0.999979285590292-5.09522132126165e-09i,0.999006621949048-3.90901588405886e-06i,0.999977197047126-1.68403511006878e-08i,0.999971563026874+1.18783385828412e-08i,0.999925967739748-2.59315893015211e-07i,0.999983689608364+1.86430183642352e-08i,0.999944928282544-2.31293606451564e-07i,0.999934016743809+1.65656109342759e-09i
0.992726650241576-1.21625610189422e-05i,0.987847349068193-2.15865745612738e-06i,0.997646359077082+5.68236411862253e-06i,0.996032408287811+1.27255554218753e-05i,0.997779213127252+1.6316411116215e-06i,0.999502105576384+3.263287929253e-06i,0.99996835236872-8.20869785181288e-09i,0.998950086102625-4.34087923417782e-06i,0.999973164323677-2.72954527248431e-08i,0.999966208689211+2.05504975463651e-08i,0.999908606756112-6.70513578900583e-07i,0.999978787321237+3.02467194332975e-08i,0.999923325568751-2.82732856368629e-07i,0.999925631974966+2.44141783413529e-09i
0.978759360659322-6.03381638913028e-06i,0.996361620302998-3.24385652618911e-07i,0.995912769875337+3.18705201815757e-05i,0.997354265857811+1.54408161504451e-07i,0.993007342811811-7.84587439868885e-06i,0.998518124635986+2.01632422758603e-06i,0.999920272610067-3.12777649083652e-08i,0.996704365033424-2.66127790865425e-05i,0.999922446934002-1.19064332700419e-07i,0.999902873188598+8.61704884904173e-08i,0.999745007383298-7.22026459228189e-07i,0.999942051713381+1.27440894606735e-07i,0.999799954966795-1.54840638778203e-06i,0.999779424509829+6.99927299913021e-09i
0.990296766225029-5.43804246967612e-06i,0.970607262985795+0.000105927630276013i,0.998220024845555-2.56046504098485e-06i,0.975880577866438+1.65949219634608e-05i,0.999573023101855+4.60541830365232e-07i,0.999746458615439+2.61039473447956e-06i,0.999937644591778-1.30713510849573e-09i,0.999469113426904+3.87234887913197e-07i,0.999989767613998+4.40651731166128e-10i,0.999984796460561+3.46248940952119e-09i,0.999936909885685-4.30377514545346e-07i,0.9999749164554+3.02495790714354e-09i,0.999883695935838+7.17978020167177e-09i,0.999991801061444+7.7972509041062e-10i
0.967531441002769+2.23553116771181e-05i,0.994110931485803+7.74439043909455e-06i,0.993146723271811+6.93475784862109e-05i,0.996164474725185-1.26189306660085e-06i,0.988312378693874-1.92068949382819e-05i,0.997530637930599-4.85080575424629e-06i,0.999818724526319-8.79510667213435e-08i,0.994346481415737-6.77231512613783e-05i,0.999861485867972-3.30799049069237e-07i,0.99982492075839+2.57217758152874e-07i,0.999529886051183-3.44103749852564e-08i,0.999885209823223+3.60395589751901e-07i,0.999589402338812-3.93163980723384e-06i,0.999622240799109+1.69626023568528e-08i
0.986468131232882+4.02102195529658e-06i,0.984983689174322+0.000108633954135192i,0.998580889576111+1.24600560098333e-05i,0.971158287446867+1.38896271448839e-05i,0.999082696701988-2.62248781591785e-06i,0.99935098439812+1.32438269663606e-07i,0.999834706082047-3.47707561228247e-11i,0.99873010031337-2.31859050882093e-06i,0.999978574256607+6.99316101597939e-13i,0.999966804127831+1.7510543442768e-11i,0.999860518390851+2.51466253788872e-08i,0.999933235794942+5.08329122892401e-09i,0.999708867481895-1.09300485969078e-07i,0.999996189247634-3.69757958968791e-12i
