methyl_group,center_x,center_y,center_z,normal_x,normal_y,normal_z
methyl_152_153_154_,4.451982e-10,-2.436341e-10,1.148040e-10,7.654553e-01,3.576352e-01,-5.349534e-01
methyl_147_148_149_,7.753522e-11,5.107126e-10,4.416522e-10,-1.434278e-01,-7.400040e-01,6.571321e-01
methyl_140_141_142_,-1.984258e-10,5.487880e-11,-7.017806e-10,-9.273930e-01,3.029502e-01,-2.194615e-01
methyl_130_131_132_,3.583594e-10,-4.207330e-10,-2.482652e-10,8.512216e-01,1.209035e-01,-5.106898e-01
methyl_128_129_169_,5.723147e-10,-4.875747e-11,4.905084e-10,-4.675815e-01,-4.028484e-01,-7.868168e-01
methyl_126_127_168_,3.904975e-10,5.335945e-10,-3.598125e-10,3.060409e-01,-9.440317e-01,1.230571e-01
methyl_119_120_121_,3.636297e-10,7.218644e-11,1.619402e-10,-3.889309e-01,-9.110013e-01,1.371472e-01
methyl_113_114_115_,1.843551e-10,5.404795e-10,-6.221284e-11,9.013037e-01,-2.846429e-01,3.265426e-01
methyl_106_107_108_,3.045460e-10,2.400527e-10,-2.277805e-10,2.263871e-01,8.697541e-01,4.384937e-01
methyl_20_21_22_,-5.873388e-11,2.745189e-10,6.534580e-11,3.872997e-01,7.491378e-01,5.373933e-01
methyl_17_18_19_,-8.909999e-11,1.864594e-10,-2.282056e-10,2.474161e-01,3.844396e-01,-8.893770e-01
methyl_8_9_10_,-8.340220e-11,-2.801327e-10,6.859712e-11,3.112688e-01,-7.759374e-01,5.486647e-01
methyl_5_6_7_,-9.935464e-11,-1.772874e-10,-2.217692e-10,1.795399e-01,-2.730195e-01,-9.451062e-01
