time,signal
0,1.00000000000002+8.21048009416603e-32i
1e-07,0.862002642461911-5.74920037202879e-05i
2e-07,0.99590496389298+4.43333430782557e-06i
3e-07,0.940252318092583+1.3109785366666e-06i
4e-07,0.961956222216893+6.37036693950078e-05i
5e-07,0.936854630356161-9.17909308974455e-05i
6e-07,0.912785214044511+1.72224853747111e-05i
7e-07,0.88434660768459-0.00153155646167917i
8e-07,0.883196567581714-3.82567191952402e-05i
9e-07,0.890455369501421-0.00179541470720617i
1e-06,0.878712202519682-0.000292650351496585i
1.1e-06,0.921526353180893-9.17331707606413e-05i
1.2e-06,0.896616517535752-0.000753263107895761i
1.3e-06,0.904085727250997-0.000532137027040337i
1.4e-06,0.893992638611751+1.79484942132024e-06i
1.5e-06,0.84308121352508-0.00282415266340344i
1.6e-06,0.83127666921795+0.000455294431899814i
1.7e-06,0.787576771639828-0.00224261130728558i
1.8e-06,0.766479139211318-0.0013649425825661i
1.9e-06,0.763207852549281-0.000171657102623233i
2e-06,0.743064830038115-0.00142056610798791i
2.1e-06,0.743447898899782+0.000126033313339093i
2.2e-06,0.722443414599139+0.00129186861733795i
2.3e-06,0.701651639279803-0.00110033321306733i
2.4e-06,0.688694118185291+0.000982945097645285i
2.5e-06,0.659120186144413-0.00248889590488142i
2.6e-06,0.671859683822346-0.00141740618501455i
2.7e-06,0.647421098566466-0.0017797967155658i
2.8e-06,0.667926472570041-4.1349432021684e-05i
2.9e-06,0.662534360022265+0.000298951000679698i
3e-06,0.662027783674313+0.00179891060618991i
3.1e-06,0.670146125091536-0.000548121729925634i
3.2e-06,0.653153558659016+0.00068921953085349i
3.3e-06,0.64484717731743-0.00215553071402472i
3.4e-06,0.633535427195771+2.4856242775648e-05i
3.5e-06,0.629484273687123-0.000953520547480494i
3.6e-06,0.625565780658683-7.58247663511627e-05i
3.7e-06,0.648543279860646-0.000139483830477604i
3.8e-06,0.640696451768285-0.000472716048792604i
3.9e-06,0.645830935918161-0.000203629762843584i
4e-06,0.650860415346161-0.000120126238918928i
4.1e-06,0.613701536652387+0.000940793478369995i
4.2e-06,0.638832316853917+0.00031472311483948i
4.3e-06,0.607646731509115+0.00072991077320306i
4.4e-06,0.624201411904628-0.00041177226293728i
4.5e-06,0.62332405010488-0.00117551097621596i
4.6e-06,0.625429240792385-0.000563001752468962i
4.7e-06,0.626508181166695+0.000211792061513047i
4.8e-06,0.640110532415075+9.51931846226901e-05i
4.9e-06,0.625404665556843+0.00304881794624981i
5e-06,0.646066356034359+0.000521051073709959i
5.1e-06,0.630183906971297+0.00114599085848977i
5.2e-06,0.645085237055992+0.000857556735936781i
5.3e-06,0.642410178323157-0.00204118747659556i
5.4e-06,0.661483289024704+0.000603580640077928i
5.5e-06,0.661822555799286-0.00054676397216863i
5.6e-06,0.67785817274317-5.93684430596236e-05i
5.7e-06,0.679559101744612+0.00224005516242448i
5.8e-06,0.673557969527274+0.000288705367951638i
5.9e-06,0.693654437768386+0.000636095384406275i
6e-06,0.680636279383831+0.000459219566094081i
6.1e-06,0.712038556720691-0.00228365241092285i
6.2e-06,0.710864806642577+4.74018432962235e-06i
6.3e-06,0.731230003698269-0.00111530621076316i
6.4e-06,0.734305960576665+0.000212027832092302i
6.5e-06,0.748211991516142+0.00116325969096163i
6.6e-06,0.75417516972475-0.000254840160964789i
6.7e-06,0.753050083258192+0.000234650399952102i
6.8e-06,0.778113529124553-0.000557824756139532i
6.9e-06,0.746638534572643-0.00100938694102243i
7e-06,0.780655184083325+0.000562985776032006i
7.1e-06,0.75116387442831-0.000674195638055838i
7.2e-06,0.76488774118423+0.000894814828261564i
7.3e-06,0.762118036266626-0.000185497489167879i
7.4e-06,0.763703270287257-0.000122527373891994i
7.5e-06,0.748814692354958+0.000666964568598645i
7.6e-06,0.7638165652116+4.03651680195254e-05i
7.7e-06,0.733647358916134+0.00112934732078394i
7.8e-06,0.75980792102147+0.000555375702713283i
7.9e-06,0.752769641455924+0.000518889686332283i
8e-06,0.763979257976708-4.12604171074353e-05i
8.1e-06,0.762954707348981+0.000465711664875588i
8.2e-06,0.770212535687826+4.30856053853971e-05i
8.3e-06,0.752294089819644+0.00137154025410418i
8.4e-06,0.777734732596293+0.000360953897288029i
8.5e-06,0.768113353528085+0.00174282214843752i
8.6e-06,0.779624559251553-0.000163376151982102i
8.7e-06,0.791079411609338+0.00122343350414247i
8.8e-06,0.771597878994216-1.02307081624853e-05i
8.9e-06,0.780523495650489-1.88597414539054e-05i
9e-06,0.768564010411668+0.000765073980907589i
9.1e-06,0.754744678328537-0.00011226358072579i
9.2e-06,0.761922582319566+0.000886530822100604i
9.3e-06,0.734311472167262+0.00126297661428704i
9.4e-06,0.744357679554213+0.000745320046360408i
9.5e-06,0.724888732443717+0.000861694331053363i
9.6e-06,0.733516325887447+0.000255896408502461i
9.7e-06,0.721997663361041-0.000409925064876075i
9.8e-06,0.720164895698536+0.000680515529648741i
9.9e-06,0.718306308185492+0.000498514692533743i
