radius,counts_1_clusters,counts_2_clusters,counts_3_clusters
2.71128198459696e-10,0,0,0
2.68258271074724e-10,0,0,0
2.7528439839555e-10,0,0,0
2.59598728810447e-10,0,0,0
3.6687395655729e-10,0,0,1
2.6499150929794e-10,0,0,1
3.14962696203852e-10,0,0,1
2.64678106385852e-10,0,0,1
3.69615340590729e-10,0,0,1
3.08265307811308e-10,0,0,1
4.03290837981723e-10,1,8,45
3.48084041576169e-10,1,9,53
4.74516069274793e-10,1,8,50
3.95124663872049e-10,1,4,22
3.4515721055774e-10,1,7,48
4.02306475215103e-10,1,9,52
2.77558102025504e-10,0,0,1
3.72456037674246e-10,0,0,1
3.17604313572722e-10,0,0,1
3.63890780317391e-10,0,0,1
2.53626694178669e-10,0,0,1
2.91162325859648e-10,0,0,1
7.28937583061818e-11,1,0,0
5.92885739413591e-10,1,4,18
5.85159379998304e-10,1,3,12
5.73436570162734e-10,1,7,40
4.30009883607342e-10,1,7,41
5.72685341177858e-10,1,5,31
4.76619869497695e-10,1,7,46
5.27973010673841e-10,1,3,17
5.63596930438767e-10,1,4,17
5.53304165897926e-10,1,6,31
5.42548154544829e-10,1,4,16
5.86692849794507e-10,1,4,28
5.43050181843262e-10,1,5,23
5.98901911835319e-10,1,3,13
5.41443902911465e-10,1,4,18
4.77670911821099e-10,1,5,33
3.92411136437283e-10,1,8,58
4.3502701065566e-10,0,0,0
5.76408275443717e-10,0,0,0
4.24356571764831e-10,0,0,0
5.82453002395902e-10,0,0,0
5.07024161159998e-10,0,0,0
3.80740725428736e-10,0,0,1
4.4976160351902e-10,0,0,1
5.39825434747196e-10,0,0,1
4.9295385179548e-10,1,3,11
3.17306634030869e-10,1,6,22
5.03745471443665e-10,1,5,17
4.15181285705413e-10,1,6,26
5.69979385592146e-10,0,0,1
4.96626116912915e-10,0,0,1
5.22167118842234e-10,1,2,13
4.04749922791839e-10,0,0,1
3.41991958969798e-10,0,0,1
4.92603796168889e-10,0,0,1
4.9859151617331e-10,1,1,2
5.43041895253027e-10,1,3,11
5.85946669928245e-10,0,0,1
5.62286848503502e-10,0,0,1
3.95344786230956e-10,1,8,39
5.55930301386784e-10,1,5,18
4.87909315344563e-10,1,4,19
4.91352724628652e-10,1,5,21
5.86028582920663e-10,1,2,8
5.38912330532528e-10,1,3,10
5.78136229620666e-10,1,5,25
5.30432370807062e-10,0,0,1
4.42072957779596e-10,0,0,1
5.83565334816934e-10,1,5,22
4.81426526066024e-10,1,3,15
2.81171655754985e-10,1,6,34
4.32396230325844e-10,1,6,31
5.81782175732464e-10,1,3,11
4.40799841197794e-10,1,5,22
6.71436147373672e-10,0,0,1
6.88515431925822e-10,0,0,1
6.06585937852173e-10,0,0,1
