methyl_group,center_x,center_y,center_z,normal_x,normal_y,normal_z
methyl_496_525_526_,5.368544e-12,-1.192483e-10,1.204120e-09,-3.419960e-01,-7.759055e-01,5.301032e-01
methyl_489_490_491_,-7.759924e-10,1.289417e-10,2.992315e-10,-5.805082e-02,9.657530e-01,2.528859e-01
methyl_482_483_484_,4.451982e-10,-2.436341e-10,1.148040e-10,7.654553e-01,3.576352e-01,-5.349534e-01
methyl_478_479_524_,8.432706e-10,-6.920837e-10,4.415872e-10,3.062357e-02,3.253023e-01,-9.451141e-01
methyl_472_473_523_,7.730955e-10,5.277137e-10,6.809406e-10,1.090115e-01,6.319614e-01,7.672948e-01
methyl_465_466_467_,5.823270e-10,8.132232e-10,-6.252921e-11,6.468286e-01,-6.606231e-01,-3.810380e-01
methyl_458_459_460_,7.753522e-11,5.107126e-10,4.416522e-10,-1.434278e-01,-7.400040e-01,6.571321e-01
methyl_451_452_453_,-1.984258e-10,5.487880e-11,-7.017806e-10,-9.273930e-01,3.029502e-01,-2.194615e-01
methyl_448_449_522_,6.360215e-10,6.828167e-10,-6.453912e-10,5.238928e-01,-3.762584e-01,7.641767e-01
methyl_441_442_443_,-8.819296e-10,7.970745e-12,-3.119123e-10,-9.030369e-01,-4.208227e-01,-8.621260e-02
methyl_434_435_436_,7.395786e-10,-2.984369e-10,3.070226e-10,-8.870801e-01,-1.457075e-01,4.380162e-01
methyl_425_426_427_,3.583594e-10,-4.207330e-10,-2.482652e-10,8.512216e-01,1.209035e-01,-5.106898e-01
methyl_418_419_420_,5.723147e-10,-4.875747e-11,4.905084e-10,-4.675815e-01,-4.028484e-01,-7.868168e-01
methyl_409_410_411_,3.904975e-10,5.335945e-10,-3.598125e-10,3.060409e-01,-9.440317e-01,1.230571e-01
methyl_403_404_521_,4.690228e-10,9.741509e-10,4.103059e-10,-9.206402e-02,9.882417e-01,1.220758e-01
methyl_396_397_398_,3.636297e-10,7.218644e-11,1.619402e-10,-3.889309e-01,-9.110013e-01,1.371472e-01
methyl_391_519_520_,2.530807e-10,-1.156103e-09,-3.126178e-10,-3.877910e-01,-8.495240e-01,-3.576690e-01
methyl_379_380_381_,1.843551e-10,5.404795e-10,-6.221284e-11,9.013037e-01,-2.846429e-01,3.265426e-01
methyl_374_375_376_,4.111920e-11,-9.311979e-10,5.733829e-10,-9.270216e-01,2.663897e-01,2.639461e-01
methyl_365_366_367_,3.045460e-10,2.400527e-10,-2.277805e-10,2.263871e-01,8.697541e-01,4.384937e-01
methyl_20_21_22_,-5.873388e-11,2.745189e-10,6.534580e-11,3.872997e-01,7.491378e-01,5.373933e-01
methyl_17_18_19_,-8.909999e-11,1.864594e-10,-2.282056e-10,2.474161e-01,3.844396e-01,-8.893770e-01
methyl_8_9_10_,-8.340220e-11,-2.801327e-10,6.859712e-11,3.112688e-01,-7.759374e-01,5.486647e-01
methyl_5_6_7_,-9.935464e-11,-1.772874e-10,-2.217692e-10,1.795399e-01,-2.730195e-01,-9.451062e-01
