radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
2.71128198459696e-10,0,0,0,0
2.68258271074724e-10,0,0,0,0
2.7528439839555e-10,0,0,0,0
2.59598728810447e-10,0,0,0,0
3.6687395655729e-10,0,0,1,15
2.6499150929794e-10,0,0,1,15
3.14962696203852e-10,0,0,1,15
2.64678106385852e-10,0,0,1,21
3.69615340590729e-10,0,0,1,21
3.08265307811308e-10,0,0,1,21
4.03290837981723e-10,1,11,146,1982
3.48084041576169e-10,1,12,160,2193
4.74516069274793e-10,1,15,204,2707
3.95124663872049e-10,1,9,112,1398
3.4515721055774e-10,1,9,120,1623
4.02306475215103e-10,1,14,191,2565
2.77558102025504e-10,0,0,1,10
3.72456037674246e-10,0,0,1,10
3.17604313572722e-10,0,0,1,10
3.63890780317391e-10,0,0,1,13
2.53626694178669e-10,0,0,1,13
2.91162325859648e-10,0,0,1,13
7.28937583061818e-11,1,0,0,0
1.15524477925676e-09,1,1,3,20
1.1147975152466e-09,1,3,11,71
7.70553372583626e-10,1,11,125,1485
7.65295041144264e-10,1,15,186,2242
1.00737852865743e-09,1,7,61,646
9.32910231479964e-10,1,11,120,1382
9.76709526932138e-10,1,11,100,998
7.41101544999064e-10,1,12,146,1777
7.03217249504021e-10,1,14,169,1979
9.65190395725113e-10,1,11,125,1386
8.29859325428111e-10,1,8,84,942
8.87179519601304e-10,1,7,85,1039
8.04313060940826e-10,1,12,124,1337
7.65134301936595e-10,1,11,126,1430
7.93515910363491e-10,1,14,175,2097
6.92786042007199e-10,1,11,131,1634
5.27973010673841e-10,1,10,129,1747
1.10007795178342e-09,1,5,37,356
1.13257074834202e-09,1,3,22,205
1.06070141887338e-09,1,8,73,754
1.15409120090225e-09,1,2,12,97
8.27895826780157e-10,1,12,123,1172
7.88220464083495e-10,1,11,116,1156
1.01090825498657e-09,1,8,61,499
1.0276047391872e-09,1,4,37,350
1.0816415764938e-09,1,4,38,401
1.12510377299163e-09,1,6,55,609
1.10642826247344e-09,1,3,29,282
6.67845416245407e-10,1,12,158,2080
7.59556120375579e-10,1,7,81,995
8.46792477529176e-10,1,9,104,1257
6.28158021520063e-10,1,13,174,2171
6.74277020222401e-10,1,16,216,2719
1.00370289428695e-09,1,8,73,720
9.34978876766743e-10,1,12,121,1216
9.93074267111982e-10,1,8,74,692
7.93585219116385e-10,1,14,155,1655
7.60125318615293e-10,1,9,91,910
1.08760631664219e-09,1,2,17,165
1.16569142572123e-09,1,0,0,0
1.19541645462993e-09,1,3,21,211
1.1579708545555e-09,1,6,41,335
1.03028952241591e-09,1,7,63,648
1.00610759861955e-09,1,7,65,663
1.1664765321257e-09,1,5,36,308
1.03145843348145e-09,1,6,51,450
8.71735338276475e-10,1,10,84,765
1.02807903392687e-09,1,7,59,574
9.73927358687495e-10,1,10,102,997
1.14092572063215e-09,1,3,25,256
1.07843474536015e-09,1,6,56,570
5.63596930438767e-10,1,13,168,2109
5.53304165897926e-10,1,14,185,2380
7.71432109780245e-10,1,13,160,1906
8.47973171745427e-10,1,14,183,2208
9.45525515255935e-10,1,10,117,1317
1.19868198451466e-09,1,1,8,73
1.06000825468484e-09,1,3,32,375
1.17252356053087e-09,1,2,17,163
1.02533482336259e-09,1,6,50,498
1.00912164777097e-09,1,6,56,568
9.49615975013058e-10,1,8,81,890
7.80133642397251e-10,1,11,134,1646
7.37487966003514e-10,1,11,141,1763
1.16350096690978e-09,1,6,43,424
1.11546649434217e-09,1,4,34,333
1.07247261037287e-09,1,3,27,276
1.16435024799242e-09,1,1,13,149
1.02292155124428e-09,1,6,51,507
1.14444418824161e-09,1,4,20,142
1.0740030260665e-09,1,6,47,456
9.18515922562043e-10,1,6,62,731
1.15023845353909e-09,1,4,16,112
1.14813043684069e-09,1,3,11,84
1.07922263690121e-09,1,5,51,549
1.03010120861981e-09,1,7,62,636
8.35823845077418e-10,1,10,112,1290
8.39151654946828e-10,1,12,148,1787
8.52854911459153e-10,1,12,126,1378
1.01285018635532e-09,1,9,90,1022
1.14299103233577e-09,1,4,39,462
1.17487509974465e-09,1,4,31,329
1.04036123534088e-09,1,8,81,890
1.00666454194036e-09,1,10,110,1224
1.03145358596497e-09,1,8,91,1073
1.00199226543921e-09,1,10,118,1399
8.70640281631857e-10,1,13,171,2159
7.35047957619093e-10,1,16,225,2862
1.06417503259567e-09,1,4,35,310
1.03104970782208e-09,1,6,44,389
1.04415683687845e-09,1,3,25,295
1.05840753020753e-09,1,2,28,324
1.14948966937507e-09,1,3,32,331
1.11766788448089e-09,1,5,47,492
1.08356933326853e-09,1,6,62,651
9.63245295861859e-10,1,7,73,740
7.38006436286297e-10,1,13,157,1813
8.49801447398156e-10,1,9,99,1104
1.18540436138897e-09,1,2,15,153
1.11874282120602e-09,1,3,24,249
8.85341459551059e-10,1,9,96,1141
8.95936102632325e-10,1,10,111,1343
9.68901181751782e-10,1,5,43,461
1.19909069715347e-09,1,1,6,46
1.05669082517073e-09,1,4,33,336
9.93924795947862e-10,1,5,33,294
1.15247841628379e-09,1,2,13,104
7.63048818883825e-10,1,12,130,1332
